Weighted Total [Total Pts: up to 0 Percentage] |1976945,Total [Total Pts: up to 556 Score] |1976944,Syllabus Quiz [Total Pts: 5 Score] |2061052,Academic Dishonesty Quiz [Total Pts: 5 Score] |2061053,Week 3.1_Population Genetics and Adaptations pt. 1 [Total Pts: 1 Score] |2081743,Week 3.1_Population Genetics and Adaptations pt. 2 [Total Pts: 1 Score] |2081748,Week 3.2_Human Population Genetics [Total Pts: 1 Score] |2081750,Week 4.1_Fossils and Pre-primates [Total Pts: 2 Score] |2081756,Week 5.1_Fossil Primates pt. 1 [Total Pts: 1 Score] |2081767,Week 5.1_Fossil Primates pt. 2 [Total Pts: 1 Score] |2081768,Week 5.2_Living Primates; Primate Social Behavior [Total Pts: 1 Score] |2081769,6.1_Primate Cognition and Intelligence [Total Pts: 2 Score] |2081782,Week 7.1_Your Inner Monkey [Total Pts: 1 Score] |2081788,Week 7.2_Fossil Hominins pt. 1 [Total Pts: 1 Score] |2081789,Week 7.2_Fossil Hominins pt. 2 [Total Pts: 1 Score] |2081790,Week 7.2_Fossil Hominins pt. 3 [Total Pts: 1 Score] |2081792,Week 8.1_Australopithecines pt. 1 [Total Pts: 1 Score] |2081793,Week 8.1_Australopithecines pt. 2 [Total Pts: 1 Score] |2081794,Week 8.2_Intro to the genus Homo [Total Pts: 1 Score] |2081795,Week 9.1_Homo erectus and variants [Total Pts: 1 Score] |2081796,"Week 9.2_Archaic H. sapiens, Neanderthals, and AMH pt. 1 [Total Pts: 1 Score] |2081797","Week 9.2_Archaic H. sapiens, Neanderthals, and AMH pt. 2 [Total Pts: 1 Score] |2081798",Week 10.1_Origins and Mirgation of Modern Humans pt 1 [Total Pts: 1 Score] |2081799,Week 10.1_Origins and Migrations of Modern Humans pt. 2 [Total Pts: 1 Score] |2081800,Week 12.1_Museum Assignment & Intro to Human Variation [Total Pts: 2 Score] |2081980,Week 13.1_Human Variation pt 1 [Total Pts: 1 Score] |2081992,Week 13.1_Human Variation pt 2 [Total Pts: 0 Score] |2081993,Week 13.2_How race becomes biology pt 1 [Total Pts: 1 Score] |2081994,Week 13.2_How race becomes biology pt 2 [Total Pts: 1 Score] |2081997,Week 13.2_How race becomes biology pt 3 [Total Pts: 1 Score] |2082000,Week 14.1_Diet & Agriculture 1 [Total Pts: 1 Score] |2082003,Week 14.2_Diet & Agriculture 2 pt. 1 [Total Pts: 1 Score] |2082005,Week 14.2_Diet & Agriculture 2 pt. 2 [Total Pts: 1 Score] |2082006,Week 15.1_Forensic Anthropology [Total Pts: 2 Score] |2082007,Week 16.1_Are we still evolving? [Total Pts: 2 Score] |2082009,Lecture video quiz total [Total Pts: up to 35 Score] |2097316,Submit Final Lab 1 Here [Total Pts: 20 Score] |2084171,Submit Final Lab  2 Here [Total Pts: 20 Score] |2085587,Submit Final Lab 3 Here [Total Pts: 20 Score] |2085588,Submit Lab 4 Here [Total Pts: 20 Score] |2085589,Submit Lab 5 Here [Total Pts: 20 Score] |2085590,Submit Lab 6 Here [Total Pts: 20 Score] |2085591,Submit Lab 7 Here [Total Pts: 20 Score] |2085592,Submit Lab 8 Here [Total Pts: 20 Score] |2085593,Submit Lab 9 Here [Total Pts: 20 Score] |2085594,Submit Lab 10 Here [Total Pts: 20 Score] |2085595,Week 3 Synch Session [Total Pts: 10 Score] |2086564,Week 4 Synch Session [Total Pts: 10 Score] |2086565,Week 5 Synch Session [Total Pts: 10 Score] |2086566,Week 6 Synch Session [Total Pts: 10 Score] |2086567,Week 8 Synch Session [Total Pts: 10 Score] |2086568,Week 9 Synch Session [Total Pts: 10 Score] |2086569,Week 10 Synch Session [Total Pts: 10 Score] |2086570,Week 13 Synch Session [Total Pts: 10 Score] |2086571,Week 14 Synch Session [Total Pts: 10 Score] |2086572,Week 15 Synch Session [Total Pts: 10 Score] |2086573,Week 16 Synch Session [Total Pts: 10 Score] |2086574,SUBMISSION PORTAL: Scavenger Hunt (Individual Project) [Total Pts: 20 Score] |2089729,SUBMISSION PORTAL: Museum Exhibit Project (group work project) [Total Pts: 40 Score] |2089730,Submit top 3 choices HERE [Total Pts: 0 Score] |2089736,Museum Introduction video [Total Pts: 1 Score] |2089756,Week 8: TURN IN Museum Progress Check-In HERE [Total Pts: 0 Score] |2095122,Exam 1 [Total Pts: 25 Score] |2086347,Exam 2 [Total Pts: 25 Score] |2086357,Exam 3_SP2021 [Total Pts: 25 Score] |2106849,Total Extra Credit [Total Pts: 0 Score] |2107595,Extra Credit Survey 1 [Total Pts: 0 Complete/Incomplete] |2087491,Extra Credit Survey 2 [Total Pts: 0 Complete/Incomplete] |2108132,Extra Credit Survey 3 [Total Pts: 0 Complete/Incomplete] |2124954,Optional Post-Lab 9 Survey for Extra Credit [Total Pts: 0 Complete/Incomplete] |2123873,Week 14 Survey_Do BEFORE attending Live Session [Total Pts: 0 Complete/Incomplete] |2117557,SUBMIT Peer Reviews Here [Total Pts: 0 Score] |2118057,Midterm Percentage [Total Pts: up to 197 Percentage] |2104492,Midterm Letter Grade [Total Pts: up to 197 Letter] |2273458,Current grade [Total Pts: up to 516 Letter] |2124888,Exam 4_SP2021 [Total Pts: 25 Score] |2125835,Final Percentage [Total Pts: 480 Percentage] |2130996,Final Grade [Total Pts: 0 Text] |2130541,Lab One: Pigeonetics [Total Pts: 20 Score] |2167326,Lab Two: Forces of Evolution [Total Pts: 20 Score] |2167575,Lab Three: Primate Evolution [Total Pts: 20 Score] |2169717,Total Assignment Percentage [Total Pts: up to 370 Percentage] |2292091,Total Exam Percentage [Total Pts: up to 100 Percentage] |2292092,Total Attendance Percentage [Total Pts: up to 35 Percentage] |2292094,Total Extra Credit [Total Pts: 0 Score] |2292095
,439.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,34.0,18.75,20,9.5,19.5,19.5,18.25,17.5,20.0,20.0,15,0.0,0.0,10.0,10.0,10.0,0.0,7.0,10.0,10.0,0.0,10.0,20,38.0,Needs Grading,1.0,Needs Grading,18.0,20.0,18.0,12.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,77.53806999999999,C,B,23.0,91.45833,A,,,,81.89189,79,97.14285,12.0
,422.5,4.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,18,19,10,17,20.0,19.5,17.5,20.0,,20,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,16.5,35.0,Needs Grading,1.0,,15.0,15.0,13.0,5.0,Complete,,Complete,,In Progress,Needs Grading,81.21826999999999,B,B,17.0,88.02083,B,,,,84.45945,60,100.0,5.0
,464.25,4.5,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,15.75,19.5,16.5,19.5,19.0,19.0,19.5,18.0,18.5,17,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,20,35.0,0,1.0,,16.0,19.0,15.0,20.0,Complete,,Complete,Complete,Complete,0,87.43654000000001,B,B,12.0,96.71875,A,,,,91.14864,62,100.0,20.0
,497.5,5.0,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,20,18,17,19,20.0,19.0,14.0,20.0,20.0,18,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20,40.0,Needs Grading,,Needs Grading,23.0,19.0,24.0,12.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,92.13197,A,A,21.0,103.64583,A,,,,95.67567,87,100.0,12.0
,453.5,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,16.25,19,17,19.25,18.75,16.5,17.0,19.0,20.0,,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,18.75,39.0,Needs Grading,1.0,,22.0,17.0,16.0,12.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,85.02538,B,B,20.0,94.47916,A,,,,86.62162,75,100.0,12.0
,374.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20,20,19,20,18.0,19.0,0.0,20.0,19.0,18,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,18,32.0,,1.0,,22.0,22.0,21.0,1.0,In Progress,,,,Complete,Needs Grading,83.75634000000001,B,C,22.0,77.91666,C,,,,76.48648,87,0.0,1.0
,508.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,18,19,17,20,20.0,17.0,20.0,20.0,20.0,19,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,19,40.0,Needs Grading,1.0,Needs Grading,23.0,23.0,22.0,12.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,94.92385,A,A,23.0,105.83333,A,,,,97.02702,91,100.0,12.0
,451.25,4.5,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,19.5,19.75,16.25,20,19.75,19.25,16.0,19.5,19.75,0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20,40.0,Needs Grading,1.0,Needs Grading,16.0,20.0,16.0,7.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,85.27918000000001,B,B,17.0,94.01041,A,,,,89.12162,69,100.0,7.0
,459.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,18.5,19.5,18,20,19.0,19.0,19.0,18.0,20.0,20,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,,,Needs Grading(20.00),33.0,Needs Grading,1.0,,18.0,19.0,18.0,10.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,91.37055,A,B,19.0,95.625,A,,,,88.91891,74,100.0,10.0
,403.25,4.5,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,15.25,19,9.75,18,18.75,18.75,17.0,0.0,19.75,14,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,8.0,10.0,10.0,19.5,37.0,,1.0,,11.0,9.0,12.0,11.0,,Complete,Complete,Complete,In Progress,Needs Grading,75.38071,C,C,10.0,84.01041,B,,,,82.36486,42,100.0,11.0
,302.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,26.0,16,16,,,,,,,,13,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,8.0,,10.0,18,38.0,,,,18.0,19.0,23.0,9.0,,Complete,Complete,In Progress,,,68.0203,D,F,0.0,62.91666,D,,,,53.24324,60,74.28571,9.0
,210.0,4.0,4.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,23.0,16,20,0,0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0,38.0,,0.0,,15.0,13.0,21.0,2.0,,,Complete,,,,41.11675,F,F,21.0,43.75,F,,,,28.918909999999997,70,65.71428,2.0
,293.0,4.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19.5,16,0,20,,19.5,18.5,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0,36.0,Needs Grading,1.0,,15.0,18.0,16.0,5.0,Complete,Complete,,,,,70.05076,C,F,9.0,61.04166,D,,,,59.32431999999999,58,0.0,5.0
,353.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,25.0,14,20,20,20,20.0,,20.0,,0.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,8.0,10.0,,19,40.0,Needs Grading,,,19.0,16.0,12.0,0.0,Complete,Complete,,,,Needs Grading,88.32486999999999,B,D,10.0,73.54166,C,,,,70.54054000000001,57,71.42857,0.0
,477.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,19.25,20,19,20,15.0,20.0,19.25,20.0,19.75,18.75,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20,38.0,Needs Grading,1.0,,19.0,19.0,17.0,5.0,Complete,Complete,,Complete,Complete,Needs Grading,93.0203,A,A,12.0,99.375,A,,,,97.02702,67,100.0,5.0
,434.0,5.0,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,19,20,18,20,,18.0,18.5,20.0,18.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,20,40.0,Needs Grading,,,24.0,21.0,15.0,0.0,Complete,Complete,,,Complete,,95.68526999999999,A,B,18.0,90.41666,A,,,,84.18918000000001,78,100.0,0.0
,494.5,4.5,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,20,18,20,20,15.5,18.5,20.0,20.0,19.5,19,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,18.5,40.0,Needs Grading,1.0,,17.0,18.0,17.0,20.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,90.60913000000001,A,A,19.0,103.02083,A,,,,97.02702,71,100.0,20.0
,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,0.0,F,F,,0.0,F,,,,0.0,0,0.0,0.0
,360.5,3.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,18,18,0,17,17.0,19.0,12.0,18.0,12.0,15,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,,8.0,10.0,18,32.0,Needs Grading,1.0,,15.0,13.0,13.0,7.0,,,Complete,In Progress,Complete,Needs Grading,64.72081,D,D,13.0,75.10416,C,,,,78.91891,54,0.0,7.0
,500.0,4.5,4.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,34.0,19.5,20,19,20,20.0,19.0,20.0,20.0,20.0,20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,19,40.0,Needs Grading,1.0,,18.0,23.0,22.0,5.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,93.40101,A,A,22.0,104.16666,A,,,,99.05405,85,97.14285,5.0
,477.25,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,34.0,19,19.25,19,19.5,17.75,19.5,19.25,18.75,19.5,18.25,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,19.5,40.0,Needs Grading,1.0,,21.0,13.0,15.0,5.0,Complete,,Complete,Complete,Complete,Needs Grading,89.72081,B,A,19.0,99.42708,A,,,,97.09459,68,97.14285,5.0
,384.25,4.0,5.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,31.0,17.5,19.25,17.5,0,18.5,17.0,18.5,17.5,20.0,17.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,20,31.0,,1.0,,17.0,15.0,17.0,12.0,In Progress,In Progress,Complete,Complete,Complete,0,60.025380000000006,D,C,18.0,80.05208,B,,,,71.41891,67,88.57141999999999,12.0
,362.25,4.0,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,20,19.25,19.5,0,19.0,20.0,0.0,18.5,0.0,0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,20,40.0,,1.0,,14.0,14.0,17.0,16.5,Complete,Complete,Complete,In Progress,Complete,0,62.05583000000001,D,C,10.0,75.46875,C,,,,66.55405,55,100.0,16.5
,479.0,5.0,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,18.5,19,13,20,20.0,19.0,19.5,20.0,19.5,20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20,37.0,,1.0,,16.0,24.0,17.0,5.0,,Complete,Complete,Complete,Complete,Needs Grading,89.84770999999999,B,A,16.0,99.79166,A,,,,96.08108,73,100.0,5.0
,341.5,5.0,4.5,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,20,19,10,20,,,,20.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,20,38.0,,1.0,Needs Grading,21.0,16.0,20.0,0.0,Complete,Complete,,,In Progress,Needs Grading,80.96446,B,D,23.0,71.14583,C,,,,66.75675,80,11.42857,0.0
,134.75,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,16.75,0.0,19.5,0.0,0.0,15.0,,0.0,0.0,0.0,10.0,2.0,10.0,0.0,7.0,1.0,0.0,0.0,17.5,36.0,,,,,,,0.0,,,,In Progress,,Needs Grading,13.578679999999999,F,F,,28.072909999999997,F,,,,36.41891,0,0.0,0.0
,360.25,4.5,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,11.75,16.75,0,17,18.5,15.75,15.0,0.0,,8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,18,37.0,Needs Grading,1.0,Needs Grading,13.0,15.0,12.0,7.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,71.06598000000001,C,D,10.0,75.05208,C,,,,69.66216,50,100.0,7.0
,419.5,3.5,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,0.0,,,,,27.0,18,20,19,19,19.0,18.0,18.0,20.0,20.0,20,10.0,,10.0,7.0,10.0,,,,,10.0,,20,36.0,Needs Grading,1.0,,21.0,19.0,20.0,10.0,Complete,Complete,Complete,,,Needs Grading,85.02538,B,B,19.0,87.39583,B,,,,79.45945,79,77.14285,10.0
,428.25,4.5,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,18,13.5,15.5,20,19.25,11.0,17.75,14.75,19.5,13,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20,38.0,Needs Grading,1.0,Needs Grading,10.0,10.0,16.0,12.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,72.58883,C,B,15.0,89.21875,B,,,,86.55405,51,100.0,12.0
,444.0,4.5,4.5,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,32.0,18.5,17.5,18,20,20.0,18.0,12.0,18.0,20.0,20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,19,34.0,Needs Grading,1.0,Needs Grading,19.0,20.0,14.0,10.0,Complete,Complete,Complete,,Complete,Needs Grading,89.3401,B,B,14.0,92.5,A,,,,87.83783000000001,67,91.42857,10.0
,410.5,4.5,5.0,1.0,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,31.0,15.25,17.5,17.5,20,0.0,18.25,18.0,16.0,17.0,,10.0,10.0,10.0,0.0,2.0,10.0,10.0,10.0,10.0,0.0,10.0,18.5,36.0,Needs Grading,1.0,,21.0,23.0,22.0,6.0,Complete,,,,Complete,Needs Grading,85.65989,B,C,21.0,85.52083,B,,,,74.59459,87,88.57141999999999,6.0
,363.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,23.0,19,0,18,0,20.0,17.0,14.0,0.0,20.0,17,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,19,24.0,Needs Grading,1.0,,19.0,24.0,18.0,10.0,Complete,Complete,,Complete,Complete,,71.5736,C,C,0.0,73.54166,C,,,,69.72972,61,65.71428,10.0
,366.5,4.5,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,33.0,18.5,17.5,18,19.5,17.5,19.0,14.0,15.0,15.0,18,0.0,7.0,10.0,0.0,10.0,0.0,10.0,8.0,10.0,,,17,27.0,,1.0,Needs Grading,12.0,12.0,14.0,3.0,Complete,Complete,,In Progress,,Needs Grading,71.5736,C,C,11.0,75.72916,C,,,,73.24324,49,94.28571,3.0
,465.75,4.5,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,34.0,17.75,20,19.5,19,20.0,20.0,20.0,18.0,20.0,18.5,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,20,40.0,0,1.0,0,22.0,21.0,18.0,17.5,Complete,Complete,Complete,Complete,Complete,0,89.21319,B,A,,97.03125,A,,,,92.63513,61,97.14285,17.5
,395.75,4.5,4.5,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,6.0,17.25,0,17,19.5,19.25,0.0,5.0,19.25,19.25,17.75,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,19.5,40.0,Needs Grading,0.0,,12.0,12.0,15.0,18.0,,Complete,,Complete,Complete,Needs Grading,65.35531999999999,D,C,20.0,78.28125,B,,,,82.09459,59,17.14285,18.0
,463.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,30.0,16,Needs Grading(19.00),20,20,18.0,20.0,18.0,20.0,20.0,20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,18,40.0,,,0,15.0,19.0,15.0,5.0,Complete,Complete,Complete,,Complete,Needs Grading,88.32486999999999,B,B,12.0,96.45833,A,,,,97.02702,61,85.71428,5.0
,430.25,4.5,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,32.0,16.75,17,18.5,18.5,20.0,17.5,14.25,19.25,0.0,17.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,In Progress,38.0,0,1.0,,18.0,19.0,16.0,11.5,Complete,Complete,Complete,Complete,Complete,0,86.92893000000001,B,B,17.0,89.63541,A,,,,83.04054000000001,70,91.42857,11.5
,469.0,4.5,3.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,33.0,19,20,19,18,20.0,19.0,19.0,18.0,0.0,20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,19,40.0,Needs Grading,1.0,,21.0,19.0,20.0,3.0,Complete,Complete,,,Complete,Needs Grading,91.87817,A,A,23.0,97.70833,A,,,,92.16216,83,94.28571,3.0
