Weighted Total [Total Pts: up to 0 Percentage] |1669869,Total [Total Pts: up to 526 Score] |1669868,Total [Total Pts: up to 526 Score] |1714579,Total [Total Pts: up to 526 Score] |1714580,Academic Integrity Quiz [Total Pts: 5 Score] |1714581,Syllabus Quiz [Total Pts: 5 Score] |1714582,Pre-Lab 1 [Total Pts: 5 Score] |1714583,Lab 1 [Total Pts: 20 Score] |1714584,Pre-Lab 2 [Total Pts: 5 Score] |1714585,Lab 2 [Total Pts: 20 Score] |1714586,Pre-Lab 3 [Total Pts: 5 Score] |1714587,Lab 3 [Total Pts: 20 Score] |1714588,Pre-Lab 4 [Total Pts: 5 Score] |1714589,Lab 4 [Total Pts: 20 Score] |1714590,Pre-Lab 5 [Total Pts: 5 Score] |1714591,Lab 5 [Total Pts: 20 Score] |1714592,Pre-Lab 6 [Total Pts: 5 Score] |1714593,Lab 6 [Total Pts: 20 Score] |1714594,Lab 7 (Lab and Pre-Lab) [Total Pts: 25 Score] |1768501,Lab 8 (Lab and Pre-Lab) [Total Pts: 25 Score] |1786205,Lab 9 (Lab and Pre-lab) [Total Pts: 25 Score] |1786215,Lab 10 (Lab and Pre-lab) [Total Pts: 25 Score] |1786216,Lab 11 (Lab and Pre-Lab) [Total Pts: 25 Score] |1786220,Exam 1 [Total Pts: 40 Score] |1714603,Exam 2 [Total Pts: 40 Score] |1714604,Final Exam_SP2020 [Total Pts: 50 Score] |1803762,Documentary Review Extra Credit [Total Pts: 0 Score] |1714605,Misc. Extra Credit [Total Pts: 0 Score] |1714606,End of the semester survey [Total Pts: 0 Complete/Incomplete] |1799624,Resources Survey [Total Pts: 0 Complete/Incomplete] |1768127,ANTH 105 Midterm Instruction Assessment [Total Pts: 0 Complete/Incomplete] |1714607,Midterm Grade Percentage Column [Total Pts: up to 156 Percentage] |1714608,Midterm Letter Grade [Total Pts: 0 Text] |1714609,Lincoln Park Zoo Assignment [Total Pts: 30 Score] |1714610,Submit Field Museum assignment here [Total Pts: 45 Score] |1789066,Final Percentage [Total Pts: 480 Percentage] |1714612,Final Letter Grade [Total Pts: 100 Text] |1714613,Date Last Attendance [Total Pts: 0 Text] |1714614,Sli.do total [Total Pts: 15 Text] |1714618,Inquizitive extra credit total [Total Pts: 0 Text] |1714619,InQuizitive: Chapter 1. What Is Biological Anthropology? [Total Pts: 0 Score] |1743501,InQuizitive: Chapter 2. Evolution: Constructing a Fundamental Scientific Theory [Total Pts: 0 Score] |1743502,InQuizitive: Chapter 3. Genetics: Reproducing Life and Producing Variation [Total Pts: 0 Score] |1743503,InQuizitive: Chapter 4. Genes and Their Evolution: Population Genetics [Total Pts: 0 Score] |1743504,InQuizitive: Chapter 5. Biology in the Present: Living People [Total Pts: 0 Score] |1743505,InQuizitive: Chapter 6. Biology in the Present: The Other Living Primates [Total Pts: 0 Score] |1743506,"InQuizitive: Chapter 7. Primate Sociality, Social Behavior, and Culture [Total Pts: 0 Score] |1743508",InQuizitive: Chapter 8. Fossils and Their Place in Time and Nature [Total Pts: 0 Score] |1743509,InQuizitive: Chapter 9. Primate Origins and Evolution: The First 50 Million Years [Total Pts: 0 Score] |1743510,InQuizitive: Chapter 10. Early Hominin Origins and Evolution: The Roots of Humanity [Total Pts: 0 Score] |1743511,InQuizitive: Chapter 11. The Origins and Evolution of Early <i>Homo</i> [Total Pts: 0 Score] |1743512,"InQuizitive: Chapter 12. The Origins, Evolution, and Dispersal of Modern People [Total Pts: 0 Score] |1743513","InQuizitive: Chapter 13. The Past 10,000 Years: Agriculture, Population, Biology [Total Pts: 0 Score] |1743514",Sli.do midterm total [Total Pts: 6 Text] |1767091,Discussion Question: Week 1 [Total Pts: 10 Score] |1861094,Total Assignment Percentage [Total Pts: up to 350 Percentage] |2292055,Total Exam Percentage [Total Pts: up to 130 Percentage] |2292056,Total Attendance Percentage [Total Pts: up to 15 Percentage] |2292058,Total Extra Credit [Total Pts: 0 Score] |2292061
,443.5,443.5,443.5,4,4.5,0.0,0.0,3.0,20.0,5.0,20.0,5.0,18.5,5.0,20.0,5.0,20.0,25.0,25,24.0,23,25.0,25.0,32.0,47.0,,2.0,Complete,Complete,,68.58974,D,30.0,44.5,91.97916,A,,11.0,,,,,,,,,,,,,,,2.0,,90.85714,80.0,73.33333,2.0
,375.0,375.0,375.0,,,5.0,20.0,3.0,17.0,4.0,20.0,5.0,19.0,5.0,19.0,5.0,20.0,19.0,15,24.0,0,25.0,28.0,26.0,22.0,,,,,,77.5641,C,25.0,40.0,78.125,C,,9.0,,,,,,,,,,,,,,,0.0,,82.85714,58.46153,60.0,0.0
,321.0,321.0,321.0,4,4,5.0,16.0,2.0,13.0,0.0,0.0,3.5,20.0,4.0,19.0,4.0,18.0,22.5,16,,,23.0,27.0,27.0,23.0,,,,,,61.217940000000006,D,30.0,39.0,68.75,D,,,,,,,,,,,,,,,,,1.0,,67.14285,59.23076,0.0,0.0
,420.5,420.5,420.5,4.5,4.5,4.5,20.0,5.0,16.0,4.0,18.0,5.0,20.0,4.0,20.0,4.0,17.5,21.0,15,22.5,24.5,25.0,17.0,21.0,40.0,0.0,3.0,Complete,Complete,Complete,79.80769000000001,C,24.5,42.0,83.85416,B,,15.0,,,,,,,,,,,,,,,6.0,,89.28571,60.0,100.0,3.0
,454.5,454.5,454.5,5,5,4.5,19.0,4.0,18.5,4.0,18.5,5.0,20.0,5.0,20.0,4.5,20.0,25.0,24.5,25.0,22,25.0,35.0,34.0,41.0,0.0,2.0,Complete,Complete,Complete,91.98716999999999,A,20.0,45.0,92.39583,A,,,,,,,0.0,0.0,0.5,0.5,,,0.0,0.0,0.0,0.0,4.0,,94.14285,84.61538,0.0,2.0
,464.0,464.0,464.0,3.5,5,4.0,20.0,2.0,19.0,5.0,19.0,5.0,19.0,5.0,18.0,4.5,20.0,22.0,25,24.0,24,25.0,27.0,31.0,41.0,0.0,2.0,Complete,Complete,Complete,86.21794,B,30.0,45.0,91.45833,A,,15.0,0.0,,,,,,,,,,,,,,6.0,,95.85714,76.15384,100.0,2.0
,442.5,442.5,442.5,5,5,5.0,20.0,4.0,19.5,5.0,18.5,5.0,20.0,5.0,18.0,5.0,17.5,22.0,25,24.0,0,25.0,30.0,36.0,47.0,0.0,2.0,Complete,Complete,Complete,91.66666,A,30.0,45.0,94.47916,A,,,,,,,,,,,,,,,,,6.0,,89.57141999999999,86.92307,0.0,2.0
,376.5,376.5,376.5,4.5,5,5.0,20.0,5.0,17.0,5.0,19.0,5.0,20.0,5.0,20.0,4.5,,,19,25.0,,25.0,29.0,30.0,39.0,,,,,,90.0641,A,28.5,40.0,79.89583,B,,,,,,,,,,,,,,,,,6.0,,75.14285,75.38461,0.0,0.0
,447.5,447.5,447.5,3.5,4.5,5.0,20.0,5.0,17.0,4.5,20.0,4.5,19.5,4.0,20.0,5.0,18.5,23.5,25,24.0,23.5,25.0,29.0,25.0,40.0,0.0,0.0,,,,86.21794,B,24.0,44.5,88.22916,B,,11.0,,,,,,,,,,,,,,,2.0,,95.0,72.30769000000001,73.33333,0.0
,487.0,487.0,487.0,5,4.5,5.0,19.0,3.0,20.0,5.0,20.0,5.0,19.0,5.0,20.0,5.0,20.0,24.0,25,24.0,24,25.0,31.0,35.0,48.0,,,,,Complete,91.34615,A,30.0,44.5,95.41666,A,,15.0,,,,,,,,,,,,,,,6.0,,97.85714,87.6923,100.0,0.0
,386.0,386.0,386.0,4.5,5,4.0,17.0,4.0,17.0,5.0,18.0,5.0,20.0,5.0,20.0,5.0,20.0,23.5,,24.0,,,29.0,33.0,46.0,,2.0,Complete,Complete,Complete,86.21794,B,30.0,45.0,82.70833,B,,,,,,,,,,,,,,,,,6.0,,75.0,83.07692,0.0,2.0
,391.0,391.0,391.0,3.5,5,5.0,20.0,5.0,20.0,5.0,18.0,5.0,20.0,5.0,18.0,4.5,20.0,0.0,18.5,0.0,21.5,15.0,32.0,31.0,37.0,0.0,1.0,,Complete,,90.0641,A,29.0,40.0,81.25,B,,11.0,0.0,,,,,,,,,,,,,,2.0,,77.0,76.92307,73.33333,1.0
,411.0,411.0,411.0,5,4,3.5,17.0,5.0,18.0,5.0,18.5,5.0,17.5,3.0,17.0,3.5,19.0,22.0,17.5,23.0,20,25.0,24.0,23.0,39.0,,1.0,Complete,,Complete,82.6923,B,30.0,40.0,84.0625,B,,,,0.5,,,,,,,,,,,,,6.0,,88.42857,66.15384,0.0,1.0
,407.0,407.0,407.0,4.5,4.5,4.5,20.0,5.0,20.0,3.0,17.0,5.0,17.5,5.0,19.0,5.0,19.0,23.0,0,22.0,24,25.0,29.0,25.0,38.0,,,,,Complete,87.82051,B,22.0,43.0,86.66666,B,,,,0.5,,0.5,0.5,,,,0.5,,,,,,5.0,,85.42857,70.76923000000001,0.0,0.0
,243.5,243.5,243.5,,,5.0,18.0,0.0,0.0,4.0,19.0,4.5,18.0,0.0,0.0,4.5,19.0,20.5,,24.0,,,25.0,19.0,,,,,,,66.34615,D,0.0,43.0,48.64583,F,3/4/20,10.0,,,,,,,,,,,,,,,10.0,,51.285709999999995,33.84615,66.66666,0.0
,460.5,460.5,460.5,5,5,5.0,19.0,5.0,17.0,5.0,19.0,5.0,20.0,3.0,20.0,5.0,20.0,25.0,25,25.0,5,25.0,35.0,39.0,47.0,,2.0,Complete,Complete,Complete,93.91025,A,30.0,45.0,97.29166,A,,,,,,,,,,,0.5,,,,,,6.0,,92.28571,93.07692,0.0,2.0
,428.0,428.0,428.0,5,4,5.0,19.0,3.0,17.0,5.0,18.5,5.0,19.5,5.0,18.0,5.0,20.0,20.5,23.5,24.0,21.5,0.0,29.0,26.0,41.0,,2.0,Complete,Complete,Complete,87.17948,B,29.5,43.0,88.33333,B,,15.0,,,,,,,,,,,,,,,6.0,,86.28571,73.84615,100.0,2.0
,463.5,463.5,463.5,4.5,5,4.5,19.0,5.0,18.0,0.0,0.0,5.0,20.0,5.0,19.0,5.0,20.0,24.75,24.25,24.5,24,25.0,30.0,35.0,45.0,5.0,2.0,Complete,Complete,Complete,73.71794,C,30.0,44.0,96.14583,A,,13.0,5.0,,,,,,,,,,,,,,4.0,,90.57141999999999,84.61538,86.66666,12.0
,452.25,452.25,452.25,4.5,5,5.0,20.0,5.0,20.0,5.0,19.0,0.0,0.0,5.0,20.0,5.0,20.0,24.75,24.5,25.0,24.75,25.0,30.0,33.0,41.0,,1.0,,Complete,,75.32051,C,29.0,44.75,93.59375,A,,13.0,,,,,,,,,,,,,,,4.0,,91.92857,80.0,86.66666,1.0
