Weighted Total [Total Pts: up to 0 Percentage] |1669869,Total [Total Pts: up to 526 Score] |1669868,Total [Total Pts: up to 526 Score] |1714579,Total [Total Pts: up to 526 Score] |1714580,Academic Integrity Quiz [Total Pts: 5 Score] |1714581,Syllabus Quiz [Total Pts: 5 Score] |1714582,Pre-Lab 1 [Total Pts: 5 Score] |1714583,Lab 1 [Total Pts: 20 Score] |1714584,Pre-Lab 2 [Total Pts: 5 Score] |1714585,Lab 2 [Total Pts: 20 Score] |1714586,Pre-Lab 3 [Total Pts: 5 Score] |1714587,Lab 3 [Total Pts: 20 Score] |1714588,Pre-Lab 4 [Total Pts: 5 Score] |1714589,Lab 4 [Total Pts: 20 Score] |1714590,Pre-Lab 5 [Total Pts: 5 Score] |1714591,Lab 5 [Total Pts: 20 Score] |1714592,Pre-Lab 6 [Total Pts: 5 Score] |1714593,Lab 6 [Total Pts: 20 Score] |1714594,Lab 7 (Lab and Pre-Lab) [Total Pts: 25 Score] |1768501,Lab 8 (Lab and Pre-Lab) [Total Pts: 25 Score] |1786205,Lab 9 (Lab and Pre-lab) [Total Pts: 25 Score] |1786215,Lab 10 (Lab and Pre-lab) [Total Pts: 25 Score] |1786216,Lab 11 (Lab and Pre-Lab) [Total Pts: 25 Score] |1786220,Exam 1 [Total Pts: 40 Score] |1714603,Exam 2 [Total Pts: 40 Score] |1714604,Final Exam_SP2020 [Total Pts: 50 Score] |1803762,Documentary Review Extra Credit [Total Pts: 0 Score] |1714605,Misc. Extra Credit [Total Pts: 0 Score] |1714606,End of the semester survey [Total Pts: 0 Complete/Incomplete] |1799624,Resources Survey [Total Pts: 0 Complete/Incomplete] |1768127,ANTH 105 Midterm Instruction Assessment [Total Pts: 0 Complete/Incomplete] |1714607,Midterm Grade Percentage Column [Total Pts: up to 156 Percentage] |1714608,Midterm Letter Grade [Total Pts: 0 Text] |1714609,Lincoln Park Zoo Assignment [Total Pts: 30 Score] |1714610,Submit Field Museum assignment here [Total Pts: 45 Score] |1789066,Final Percentage [Total Pts: 480 Percentage] |1714612,Final Letter Grade [Total Pts: 100 Text] |1714613,Date Last Attendance [Total Pts: 0 Text] |1714614,Sli.do total [Total Pts: 15 Text] |1714618,Inquizitive extra credit total [Total Pts: 0 Text] |1714619,InQuizitive: Chapter 1. What Is Biological Anthropology? [Total Pts: 0 Score] |1743501,InQuizitive: Chapter 2. Evolution: Constructing a Fundamental Scientific Theory [Total Pts: 0 Score] |1743502,InQuizitive: Chapter 3. Genetics: Reproducing Life and Producing Variation [Total Pts: 0 Score] |1743503,InQuizitive: Chapter 4. Genes and Their Evolution: Population Genetics [Total Pts: 0 Score] |1743504,InQuizitive: Chapter 5. Biology in the Present: Living People [Total Pts: 0 Score] |1743505,InQuizitive: Chapter 6. Biology in the Present: The Other Living Primates [Total Pts: 0 Score] |1743506,"InQuizitive: Chapter 7. Primate Sociality, Social Behavior, and Culture [Total Pts: 0 Score] |1743508",InQuizitive: Chapter 8. Fossils and Their Place in Time and Nature [Total Pts: 0 Score] |1743509,InQuizitive: Chapter 9. Primate Origins and Evolution: The First 50 Million Years [Total Pts: 0 Score] |1743510,InQuizitive: Chapter 10. Early Hominin Origins and Evolution: The Roots of Humanity [Total Pts: 0 Score] |1743511,InQuizitive: Chapter 11. The Origins and Evolution of Early <i>Homo</i> [Total Pts: 0 Score] |1743512,"InQuizitive: Chapter 12. The Origins, Evolution, and Dispersal of Modern People [Total Pts: 0 Score] |1743513","InQuizitive: Chapter 13. The Past 10,000 Years: Agriculture, Population, Biology [Total Pts: 0 Score] |1743514",Sli.do midterm total [Total Pts: 6 Text] |1767091,Discussion Question: Week 1 [Total Pts: 10 Score] |1861094,Total Assignment Percentage [Total Pts: up to 350 Percentage] |2292055,Total Exam Percentage [Total Pts: up to 130 Percentage] |2292056,Total Attendance Percentage [Total Pts: up to 15 Percentage] |2292058,Total Extra Credit [Total Pts: 0 Score] |2292061
,492.25,492.25,492.25,5,5,4.0,19.0,5.0,20.0,5.0,18.0,5.0,19.5,5.0,19.5,5.0,19.5,25.0,24.5,25.0,25,25.0,32.0,39.0,47.0,,1.0,Complete,,Complete,91.98716999999999,A,30.0,44.25,96.71875,A,,15.0,,,,,,,,,,,,,,,6.0,,98.07141999999999,90.76923000000001,100.0,1.0
,391.5,391.5,391.5,5,5,5.0,19.0,3.0,20.0,5.0,19.0,5.0,20.0,5.0,20.0,4.0,18.5,25.0,23,20.0,,,27.0,31.0,33.0,,2.0,Complete,Complete,Complete,89.10256,B,28.0,45.0,79.6875,B,,,,,,,,,,,,,,,,,6.0,,81.28571,70.0,0.0,2.0
,460.5,460.5,460.5,5,5,0.0,0.0,5.0,20.0,5.0,18.0,5.0,20.0,5.0,20.0,5.0,19.0,25.0,24,24.0,25,25.0,35.0,36.0,43.0,,1.0,Complete,,Complete,77.5641,C,29.5,44.0,95.20833,A,,12.0,1.5,,,,,0.5,,,,,,0.5,,0.5,3.0,,91.0,87.6923,80.0,2.5
,335.5,335.5,335.5,5,5,5.0,20.0,4.0,19.0,5.0,20.0,,,5.0,20.0,4.0,20.0,20.0,,,,,30.0,35.0,46.0,,,,,,76.28205,C,22.0,44.5,76.97916,C,,,,,,,,,,,,,,,,,6.0,,59.571419999999996,85.38461,0.0,0.0
,447.5,447.5,447.5,5,5,4.5,19.0,5.0,19.5,3.0,18.0,4.0,18.5,4.5,20.0,3.5,17.5,23.0,21.5,22.0,24,25.0,27.0,32.0,41.0,5.0,2.0,Complete,Complete,,86.21794,B,29.0,45.0,91.14583,A,,,,,,,,,,,,,,,,,6.0,,93.28571,76.92307,0.0,7.0
,457.5,457.5,457.5,4,4.5,5.0,20.0,5.0,20.0,5.0,19.0,4.5,19.0,5.0,20.0,4.5,19.5,25.0,25,24.0,25,25.0,30.0,32.0,40.0,,2.0,Complete,Complete,Complete,91.02564,A,27.5,43.0,92.70833,A,,,,,,,,,,,,,,,,,6.0,,97.42857,78.46153000000001,0.0,2.0
,460.5,460.5,460.5,5,4.5,5.0,20.0,5.0,20.0,5.0,20.0,0.0,0.0,5.0,20.0,5.0,20.0,25.0,25,25.0,24,25.0,28.0,33.0,48.0,,2.0,Complete,Complete,Complete,75.96153000000001,C,30.0,42.0,94.6875,A,,15.0,,,,,,,,,,,,,,,6.0,,91.71428,83.84615,100.0,2.0
,148.0,148.0,148.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,18.5,4.0,20.0,0.0,0.0,0.0,0,0.0,0,0.0,28.0,34.0,0.0,,,,,Complete,32.6923,F,30.0,0.0,30.83333,F,7-Apr-20,9.0,,,,,,,,,,,,,,,0.0,,22.0,47.6923,60.0,0.0
,481.5,481.5,481.5,5,5,5.0,20.0,5.0,20.0,5.0,19.0,5.0,19.0,5.0,20.0,4.0,19.0,25.0,25,23.5,24.5,25.0,30.0,33.0,44.0,,,,,,92.30769000000001,A,30.0,44.5,94.16666,A,,15.0,,,,,,,,,,,,,,,6.0,,98.14285,82.30769000000001,100.0,0.0
,390.5,390.5,390.5,5,4,4.0,20.0,0.0,0.0,3.0,19.0,4.0,20.0,4.0,20.0,4.0,18.5,22.0,21,23.0,24,25.0,0.0,24.0,42.0,5.0,1.0,,Complete,,51.92307,F,23.0,43.0,81.14583,B,,11.0,,,,,,,,,,,,,,,2.0,,85.0,50.76923,73.33333,6.0
,291.0,291.0,291.0,4.5,4,0.0,0.0,5.0,18.0,0.0,0.0,5.0,20.0,5.0,15.0,3.5,19.0,,0,0.0,0,25.0,17.0,25.0,38.0,0.0,1.0,,Complete,Complete,48.39743,F,29.0,45.0,60.41666,D,,11.0,0.0,,,,,,,,,,,,,,2.0,,54.14285,61.53846,73.33333,1.0
,403.5,403.5,403.5,5,5,5.0,20.0,4.0,18.5,5.0,19.5,5.0,19.5,4.5,18.0,5.0,18.5,24.0,0,23.0,20,25.0,27.0,21.0,39.0,0.0,1.0,,Complete,Complete,89.42307,B,23.0,43.0,86.14583,B,,,,,,,,,,,,,,,,,6.0,,85.85714,66.92307,0.0,1.0
,440.0,440.0,440.0,4.5,4,2.5,20.0,0.0,0.0,2.0,16.5,5.0,20.0,5.0,19.5,5.0,18.0,24.0,24,25.0,25,25.0,28.0,37.0,45.0,5.0,0.0,,,,66.34615,D,24.0,45.0,86.35416,B,,10.0,0.0,,,,,,,,,,,,,,1.0,,87.28571,84.61538,66.66666,5.0
,342.0,342.0,342.0,4.5,4,5.0,20.0,0.0,0.0,0.0,0.0,5.0,,4.0,20.0,,,23.5,22,25.0,25,25.0,26.0,32.0,39.0,,2.0,Complete,Complete,Complete,41.98717,F,19.5,41.5,77.70833,C,,,,,,,,,,,,,,,,,1.0,,67.28571,74.61538,0.0,2.0
,430.5,430.5,430.5,4.5,4,3.5,20.0,5.0,17.0,5.0,19.0,5.0,18.5,4.0,20.0,4.0,17.5,21.0,23,22.0,24,25.0,15.0,23.0,38.0,0.0,3.0,Complete,Complete,Complete,78.52564,C,27.5,44.0,84.6875,B,,15.0,,,,,,,,,,,,,,,6.0,,92.85714,58.46153,100.0,3.0
,447.5,447.5,447.5,5,5,4.5,19.0,5.0,19.5,3.0,18.0,4.0,20.0,5.0,20.0,4.0,17.5,22.0,23,22.0,24,25.0,30.0,29.0,46.0,0.0,1.0,Complete,,Complete,87.82051,B,28.0,45.0,90.9375,A,,,,,,,,,,,,,,,,,4.0,,93.85714,80.76923000000001,0.0,1.0
,410.0,410.0,410.0,4,5,4.0,17.0,5.0,20.0,4.5,19.5,4.5,19.5,5.0,18.0,4.5,20.0,25.0,,24.0,,,30.0,37.0,46.0,,,,,,93.58974,B,26.5,45.0,82.70833,B,,13.0,,,,,,,,,,,,,,,13.0,,74.85714,86.92307,86.66666,0.0
,465.5,465.5,465.5,5,5,0.0,20.0,5.0,20.0,5.0,17.0,5.0,20.0,5.0,20.0,4.0,19.0,24.0,23.5,24.0,24,25.0,29.0,30.0,40.0,0.0,2.0,Complete,Complete,Complete,87.82051,B,30.0,45.0,91.97916,A,,15.0,0.0,,,,,,,,,,,,,,6.0,,95.85714,76.15384,100.0,2.0
,469.0,469.0,469.0,5,5,5.0,20.0,3.0,20.0,5.0,16.5,5.0,20.0,5.0,20.0,4.5,17.0,0.0,25,25.0,25,25.0,33.0,38.0,49.0,5.0,2.0,Complete,Complete,Complete,90.70512,A,30.0,45.0,97.1875,A,,13.0,0.5,,,,,,,,,,,,,0.5,4.0,,90.28571,92.30769000000001,86.66666,7.5
,464.0,464.0,464.0,4.5,5,5.0,20.0,5.0,20.0,5.0,16.0,5.0,18.0,5.0,20.0,4.0,20.0,25.0,25,24.0,23.5,25.0,29.0,33.0,46.0,,2.0,Complete,Complete,Complete,88.78205,B,30.0,45.0,94.58333,A,,,,0.0,,,,,,,,,,,,,6.0,,97.28571,83.07692,0.0,2.0
,448.5,448.5,448.5,4.5,5,5.0,19.5,4.0,19.5,5.0,19.0,5.0,19.0,4.0,18.0,5.0,19.0,25.0,24,22.0,22,25.0,23.0,27.0,44.0,5.0,2.0,Complete,Complete,Complete,86.21794,B,29.0,45.0,91.14583,A,,,,,,,,,,,,,,,,,6.0,,95.42857,72.30769000000001,0.0,7.0
,489.25,489.25,489.25,5,5,5.0,19.0,3.0,17.0,5.0,17.0,5.0,20.0,5.0,19.0,5.0,19.5,24.5,23.5,23.25,23,25.0,29.0,32.0,47.0,5.0,2.0,Complete,Complete,Complete,89.10256,A,29.0,44.0,95.15625,A,,15.0,5.0,0.5,0.5,0.5,0.5,5.0,,,0.5,,0.5,,,0.5,6.0,,94.78571,83.07692,100.0,12.0
,439.5,439.5,439.5,5,4,4.0,20.0,4.0,17.0,4.0,18.5,3.5,20.0,5.0,20.0,4.0,19.5,22.0,22,24.0,24,21.0,27.0,24.0,36.0,0.0,2.0,Complete,Complete,,85.25641,B,27.0,43.0,86.35416,B,,15.0,,,,,,,,,,,,,,,6.0,,92.14285,66.92307,100.0,2.0
,340.0,340.0,340.0,4.5,5,5.0,20.0,5.0,19.0,5.0,20.0,5.0,20.0,5.0,20.0,4.5,20.0,0.0,0,23.0,0,0.0,18.0,18.0,33.0,5.0,2.0,Complete,Complete,,81.73076,B,30.0,44.0,71.04166,C,,10.0,0.0,,,,,,,,,,,,,,1.0,,70.14285,53.076919999999994,66.66666,7.0
,400.5,400.5,400.5,3.5,4.5,4.0,20.0,5.0,18.0,5.0,16.0,4.0,18.0,4.0,16.0,5.0,20.0,17.5,17,22.0,18.5,25.0,28.0,18.0,41.0,5.0,1.0,,Complete,,83.33333,B,26.5,22.0,79.27083,B,,13.0,,,,,,,,,,,,,0.0,,4.0,,81.0,66.92307,86.66666,6.0
,469.0,469.0,469.0,5,5,4.5,19.0,5.0,20.0,4.0,19.0,5.0,18.5,5.0,20.0,4.5,17.5,22.0,25,25.0,22,25.0,37.0,36.0,40.0,5.0,1.0,Complete,,Complete,94.87179,A,30.0,44.0,95.20833,A,,,,,,,,,,,,,,,,,6.0,,95.71428,86.92307,0.0,6.0
,389.5,389.5,389.5,4,4.5,1.5,20.0,3.0,17.0,5.0,17.0,5.0,20.0,5.0,20.0,5.0,18.0,23.0,,22.0,24,25.0,22.0,27.0,27.0,,1.0,Complete,,Complete,80.1282,B,26.5,42.0,82.60416,B,,,,0.0,,,0.0,0.0,,,,,,,,,6.0,,85.42857,58.46153,0.0,1.0
,237.5,237.5,237.5,,,4.0,18.0,0.0,0.0,5.0,20.0,3.5,19.0,5.0,16.0,0.0,0.0,,,,,,27.0,33.0,35.0,,,,,,68.91025,D,30.0,,47.1875,F,3/4/20,11.0,,,,,,,,,,,,,,,11.0,,34.42857,73.07692,73.33333,0.0
,430.75,430.75,430.75,5,5,5.0,20.0,5.0,14.0,5.0,18.0,4.5,19.0,4.0,19.0,4.5,18.0,22.5,24,25.0,24,25.0,20.0,24.0,42.0,,2.0,Complete,Complete,Complete,79.80769000000001,C,29.75,44.5,88.07291,B,,,,,,,,,,,,,,,,,4.0,,94.5,66.15384,0.0,2.0
,474.0,474.0,474.0,5,4.5,3.0,19.0,3.0,20.0,5.0,16.0,5.0,19.0,5.0,20.0,5.0,20.0,24.5,25,25.0,25,25.0,32.0,35.0,47.0,,2.0,Complete,Complete,Complete,90.70512,A,30.0,45.0,96.66666,A,,,,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,6.0,,97.0,87.6923,0.0,2.0
,417.0,417.0,417.0,5,5,5.0,19.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,4.5,19.5,25.0,24,23.0,,25.0,27.0,30.0,37.0,,1.0,,Complete,Complete,87.82051,B,22.0,45.0,88.95833,B,,,,,,,,,,,,,,,,,1.0,,89.14285,72.30769000000001,0.0,1.0
,320.5,320.5,320.5,4,5,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,5.0,19.0,20.0,21,16.0,23,25.0,22.0,25.0,35.0,,,,,,35.256409999999995,F,12.5,43.0,68.64583,D,,,,,,,,,,,,,,,,,2.0,,65.0,63.076919999999994,0.0,0.0
,476.0,476.0,476.0,4.5,5,5.0,20.0,5.0,19.0,5.0,16.5,5.0,18.5,5.0,19.0,5.0,20.0,23.25,18,25.0,24.75,25.0,33.0,37.0,46.0,,1.0,Complete,,,91.34615,A,26.0,44.5,94.375,A,,15.0,,,,,,,,,,,,,,,6.0,,94.14285,89.23076,100.0,1.0
,462.0,462.0,462.0,5,5,5.0,20.0,2.0,20.0,4.0,19.0,5.0,18.0,4.0,20.0,4.0,20.0,23.0,21.5,24.0,24,25.0,29.0,30.0,43.0,,,,,,87.82051,B,30.0,42.5,90.72916,A,,14.0,,,,,,,,,,,,,,,5.0,,94.57141999999999,78.46153000000001,93.33333,0.0
,446.0,446.0,446.0,4.5,4.5,4.0,20.0,5.0,20.0,5.0,19.0,5.0,19.0,4.0,19.5,4.5,18.5,24.0,21.5,25.0,24,0.0,32.0,34.0,37.0,0.0,1.0,Complete,Complete,,92.30769000000001,A,30.0,45.0,90.83333,A,,15.0,0.0,,,,,,,,,,,,,,6.0,,89.42857,79.23076,100.0,1.0
,359.0,359.0,359.0,4.5,4.5,4.5,20.0,3.0,18.0,5.0,18.0,4.0,17.0,0.0,4.0,4.5,17.0,21.0,24,0.0,0,23.0,25.0,26.0,31.0,,,,,,83.01281999999999,B,26.5,37.5,73.54166,C,,15.0,,,,,,,,,,,,,,,6.0,,70.57141999999999,63.076919999999994,100.0,0.0
,415.0,415.0,415.0,5,5,2.5,20.0,3.0,20.0,5.0,19.0,4.0,19.0,4.0,20.0,5.0,20.0,23.5,22,25.0,22,25.0,22.0,23.0,33.0,,1.0,,Complete,Complete,83.65384,B,21.5,40.5,82.70833,B,,,,,,,,,,,,,,,,,6.0,,91.71428,60.0,0.0,1.0
,474.5,474.5,474.5,5,5,5.0,20.0,5.0,14.0,5.0,17.0,5.0,20.0,4.0,20.0,4.5,20.0,23.0,25,25.0,25,25.0,38.0,38.0,45.0,,1.0,Complete,,Complete,92.94870999999999,A,30.0,45.0,96.97916,A,,,,,,,,,,,,,,,,,6.0,,96.42857,93.07692,0.0,1.0
,464.5,464.5,464.5,5,5,5.0,20.0,5.0,20.0,4.0,19.0,5.0,17.0,5.0,20.0,5.0,19.0,24.0,0,25.0,25,25.0,34.0,35.0,46.0,5.0,1.0,Complete,,Complete,93.58974,A,29.5,38.0,93.875,A,,15.0,1.5,0.0,0.0,0.0,0.5,0.5,,,,0.5,,,,,6.0,,88.71428,88.46153000000001,100.0,7.5
,400.0,400.0,400.0,0,0,4.5,20.0,3.0,19.0,5.0,15.0,4.0,17.0,3.0,16.0,4.5,17.0,22.5,23,22.0,24,0.0,30.0,35.0,36.0,,,,,,77.88461,C,22.5,40.0,82.5,B,,13.0,,,,,,,,,,,,,,,4.0,,80.57141999999999,77.6923,86.66666,0.0
,427.5,427.5,427.5,4,5,4.5,20.0,3.0,13.0,5.0,15.0,5.0,19.0,3.0,16.0,4.5,20.0,24.0,25,24.5,23,25.0,24.0,22.0,36.0,,2.0,Complete,Complete,Complete,79.16666,D,25.0,41.0,84.47916,B,,15.0,,,,,,,,,,,,,,,6.0,,90.14285,63.076919999999994,100.0,2.0
,443.0,443.0,443.0,4.5,4.5,4.5,19.0,2.0,16.0,5.0,15.5,5.0,20.0,4.0,16.0,4.0,19.0,23.5,25,22.0,23.5,25.0,24.0,32.0,45.0,5.0,1.0,Complete,,Complete,80.1282,B,29.0,43.5,90.20833,A,,,,,,,,,,,,,,0.5,0.5,0.5,5.0,,91.85714,77.6923,0.0,6.0
,455.0,455.0,455.0,4.5,4.5,5.0,20.0,3.5,18.0,5.0,16.0,4.5,18.0,5.0,18.0,4.0,18.0,24.0,25,22.5,25,25.0,24.0,31.0,33.0,,2.0,,Complete,Complete,88.46153000000001,B,26.5,45.0,87.70833,B,,15.0,,,,,,,,,,,,,,,15.0,,93.71428,67.6923,100.0,2.0
,456.0,456.0,456.0,4,5,3.5,19.0,4.0,19.0,4.0,16.5,5.0,19.0,5.0,19.0,5.0,20.0,25.0,21.25,24.0,25,25.0,26.0,26.0,42.0,,1.0,Complete,,Complete,83.97435,B,30.0,42.75,89.89583,A,,15.0,,,,,,,,,,,,,,,6.0,,94.85714,72.30769000000001,100.0,1.0
,461.25,461.25,461.25,3.5,4.5,4.5,19.0,3.0,16.0,5.0,17.0,5.0,19.5,5.0,19.0,5.0,19.5,24.0,24.25,24.75,24.25,25.0,23.0,32.0,44.0,,2.0,Complete,Complete,Complete,80.76923000000001,B,29.5,44.0,91.30208,A,,15.0,,,,,,,,,,,,,,,6.0,,95.21428,76.15384,100.0,2.0
,414.5,414.5,414.5,4,4.5,4.5,19.0,4.0,19.0,5.0,19.5,5.0,18.5,5.0,19.0,4.0,18.5,23.0,0,24.0,24,25.0,28.0,28.0,39.0,0.0,2.0,Complete,Complete,Complete,87.82051,B,23.0,45.0,88.64583,A,,,,,,,,,,,,,,,,,6.0,,87.14285,73.07692,0.0,2.0
,477.5,477.5,477.5,5,4.5,4.0,20.0,5.0,17.0,4.5,19.5,5.0,20.0,5.0,20.0,4.0,19.5,23.0,22,25.0,25,25.0,30.0,34.0,48.0,0.0,3.0,Complete,Complete,Complete,90.0641,A,26.5,45.0,94.27083,A,,15.0,,,,,,,,,,,,,,,6.0,,95.71428,86.15384,100.0,3.0
,449.5,449.5,449.5,5,4.5,4.5,19.5,4.0,19.0,5.0,19.5,5.0,18.5,5.0,20.0,4.5,19.0,24.0,25,24.5,23,25.0,29.0,31.0,40.0,0.0,2.0,Complete,Complete,Complete,89.42307,B,25.0,44.0,91.14583,A,,,,,,,,,,,,,,,,,6.0,,95.42857,76.92307,0.0,2.0
,470.0,470.0,470.0,4.5,4.5,5.0,20.0,3.0,20.0,5.0,18.0,2.5,18.0,4.0,20.0,5.0,20.0,25.0,25,24.0,23,25.0,28.0,27.0,43.0,5.0,2.0,Complete,Complete,Complete,86.21794,B,30.0,44.5,91.35416,A,,15.0,,,,,,,,,,,,,,,6.0,,96.28571,75.38461,100.0,7.0
,441.5,441.5,441.5,4,5,5.0,18.0,5.0,20.0,5.0,18.5,5.0,20.0,5.0,19.0,4.0,19.0,20.0,20,20.0,24,25.0,34.0,26.0,42.0,0.0,0.0,,,,93.26923000000001,A,28.0,44.0,89.6875,A,,,,,,,,,,,,,,,,,6.0,,92.71428,78.46153000000001,0.0,0.0
,412.0,412.0,412.0,,4.5,,,5.0,20.0,5.0,18.5,5.0,19.0,5.0,20.0,4.0,20.0,22.5,23,23.0,23,25.0,24.0,28.0,40.0,,2.0,Complete,Complete,Complete,67.30769000000001,D,29.5,44.0,88.125,B,,,,,,,,,,,,,,,,,4.0,,89.0,70.76923000000001,0.0,2.0
,175.5,175.5,175.5,4,5,5.0,18.0,3.5,19.0,4.5,19.0,1.5,20.0,0.0,0.0,0.0,0.0,,,,,,24.0,28.0,,,,,,,86.85897,B,0.0,,34.0625,F,3/4/20,12.0,,,,,,,,,,,,,,,12.0,,25.85714,40.0,80.0,0.0
,424.0,424.0,424.0,4,5,5.0,20.0,5.0,17.0,0.0,0.0,4.0,20.0,3.0,20.0,4.0,18.5,22.0,22,24.0,23,25.0,30.0,22.0,36.0,5.0,3.0,Complete,Complete,Complete,74.35897,C,25.5,43.0,87.70833,B,,15.0,,,,,,,,,,,,,,,6.0,,86.0,67.6923,100.0,8.0
,374.0,374.0,374.0,5,5,5.0,20.0,5.0,15.0,5.0,18.0,5.0,20.0,,,5.0,25.0,,25,25.0,25,,22.0,23.0,40.0,,,,,Complete,83.97435,B,30.0,45.0,90.20833,A,,,,,,,,,,,,,,,,,6.0,,78.0,65.38461,0.0,0.0
,338.5,338.5,338.5,0,0,4.0,20.0,5.0,19.0,0.0,0.0,5.0,20.0,4.0,20.0,5.0,18.5,19.0,,23.0,,,26.0,33.0,42.0,,1.0,,Complete,,64.74358000000001,D,28.5,44.5,77.39583,C,,,,,,,,,,,,,,,,,2.0,,67.28571,77.6923,0.0,1.0
,412.5,412.5,412.5,5,5,5.0,20.0,5.0,20.0,0.0,0.0,5.0,20.0,5.0,19.5,4.5,20.0,24.0,22,25.0,25,0.0,29.0,30.0,31.0,0.0,0.0,,,Complete,76.28205,C,28.5,45.0,84.89583,B,,14.0,0.0,,,,,,,,,,,,,,5.0,,83.85714,69.23076,93.33333,0.0
,492.5,492.5,492.5,4.5,5,5.0,20.0,5.0,20.0,5.0,17.0,5.0,20.0,5.0,20.0,4.5,20.0,25.0,24,24.5,24,25.0,35.0,34.0,49.0,0.0,0.0,,,,94.55128,A,30.0,45.0,96.77083,A,,15.0,0.0,,,,,,,,,,,,,,6.0,,98.28571,90.76923000000001,100.0,0.0
,398.5,398.5,398.5,5,4.5,3.5,19.0,3.0,18.0,5.0,20.0,5.0,20.0,5.0,20.0,4.5,20.0,24.0,19,23.0,0,25.0,30.0,18.0,23.0,0.0,0.0,,Complete,,85.25641,B,30.0,45.0,84.0625,B,,9.0,0.0,,,,,,,,,,,,,,0.0,,88.28571,54.61538,60.0,0.0
,468.5,468.5,468.5,5,5,5.0,20.0,5.0,19.0,5.0,19.5,5.0,18.5,5.0,20.0,5.0,19.0,24.0,24.5,24.0,24,25.0,33.0,33.0,45.0,0.0,0.0,,,,93.58974,A,29.0,45.0,94.58333,A,,,,,,,,,,,,,,,,,6.0,,97.57141999999999,85.38461,0.0,0.0
,467.75,467.75,467.75,5,5,5.0,19.0,5.0,17.0,5.0,19.5,5.0,19.5,5.0,19.0,5.0,20.0,25.0,24.5,25.0,24,25.0,28.0,33.0,42.0,,,,,Complete,87.82051,B,26.5,43.75,92.03125,A,,13.0,,,,,,,,,,,,,,,4.0,,96.5,79.23076,86.66666,0.0
,319.5,319.5,319.5,4,2,5.0,20.0,5.0,18.0,3.0,18.0,5.0,20.0,5.0,20.0,0.0,0.0,25.0,,,,,31.0,25.0,37.0,,2.0,Complete,Complete,,87.82051,B,25.5,45.0,68.85416,D,,,,,,,,,,,,,,,,,6.0,,61.285709999999995,71.53846,0.0,2.0
,191.5,191.5,191.5,In Progress,In Progress,5.0,18.0,5.0,20.0,4.5,17.0,3.0,17.0,4.0,20.0,0.0,0.0,,,,,,25.0,,,,,,,,83.01281999999999,C,23.0,,36.77083,F,3/4/20,15.0,,,,,,,,,,,,,,,15.0,,39.0,19.23076,100.0,0.0
,319.0,319.0,319.0,4.5,4.5,5.0,20.0,3.0,19.0,5.0,20.0,1.0,18.0,5.0,18.0,4.5,18.5,0.0,0,0.0,0,0.0,24.0,27.0,38.0,0.0,1.0,,Complete,,79.48716999999999,D,30.0,45.0,66.66666,D,,9.0,0.0,,,,,,,,,,,,,,0.0,,60.571419999999996,68.46153000000001,60.0,1.0
,489.0,489.0,489.0,5,5,5.0,20.0,5.0,20.0,5.0,20.0,4.5,20.0,5.0,20.0,5.0,20.0,25.0,25,23.0,24,25.0,31.0,38.0,46.0,,,,,,93.91025,A,26.5,45.0,95.83333,A,,15.0,,,,,,,,,,,,,,,6.0,,98.0,88.46153000000001,100.0,0.0
,154.5,154.5,154.5,3.5,1,,,5.0,18.0,5.0,17.0,4.0,19.0,0.0,0.0,,,,,,,,29.0,22.0,,,,,,,65.70512,D,30.0,,29.479159999999997,F,,,,,,,,,,,,,,,,,1.0,,28.0,39.23076,0.0,0.0
,458.5,458.5,458.5,4.5,5,5.0,20.0,4.0,17.0,5.0,18.0,4.5,20.0,5.0,20.0,4.5,19.5,21.0,22,24.0,25,25.0,30.0,28.0,42.0,0.0,3.0,Complete,Complete,Complete,88.46153000000001,B,28.5,42.0,90.72916,A,,14.0,,,,,,,,,,,,,,,5.0,,94.28571,76.92307,93.33333,3.0
,115.5,115.5,115.5,4.5,4,5.0,18.0,2.0,20.0,5.0,2.0,4.0,19.0,0.0,0.0,,,,,,,,31.0,,,,,,,Complete,74.03846,C,,,,,,,,,,,,,,,,,,,,,1.0,,21.42857,23.84615,0.0,0.0
,315.0,315.0,315.0,5,5,4.5,19.0,,,,0.0,5.0,16.0,5.0,20.0,4.5,20.0,,,24.0,25,25.0,29.0,1.0,41.0,,1.0,Complete,,,53.52564,F,24.0,42.0,67.70833,D,,,,,,,,,,,,,,,,,0.0,,66.85714,54.61538,0.0,1.0
,431.75,431.75,431.75,5,5,5.0,19.0,3.0,19.0,5.0,18.0,5.0,19.5,5.0,19.5,5.0,19.5,23.0,24,24.5,24.75,0.0,28.0,35.0,27.0,,2.0,Complete,Complete,Complete,87.5,B,30.0,44.0,89.32291,A,,14.0,,,,,,,,,,,,,,,5.0,,89.35714,69.23076,93.33333,2.0
