Total [Total Pts: up to 588 Score] |2138654,Week 1.2_Anthropology and Science [Total Pts: 1 Score] |2175184,Week 2.2 Lecture_Inheritance and Genetics [Total Pts: 1 Score] |2177170,Week 3.1_Population Genetics and Adaptations pt. 1_FA21 [Total Pts: 1 Score] |2184208,Week 3.1_Population Genetics and Adaptations pt. 2_FA21 [Total Pts: 1 Score] |2184209,Week 3.2_Human Population Genetics_FA21 [Total Pts: 1 Score] |2184210,Week 4.1_Fossils and Pre-primates_FA21 [Total Pts: 1 Score] |2184212,Week 5.1_Fossil Primates pt. 1_FA21 [Total Pts: 1 Score] |2184217,Week 5.1_Fossil Primates pt. 2_FA21 [Total Pts: 1 Score] |2184219,Week 5.2_Living Primates; Primate Social Behavior_FA21 [Total Pts: 1 Score] |2184222,6.1_Primate Cognition and Intelligence_FA21 [Total Pts: 1 Score] |2184225,Week 7.1_Your Inner Monkey_FA21 [Total Pts: 1 Score] |2184286,Week 7.2_Fossil Hominins pt. 1_FA21 [Total Pts: 1 Score] |2184287,Week 7.2_Fossil Hominins pt. 2_FA21 [Total Pts: 1 Score] |2184288,Week 7.2_Fossil Hominins pt. 3_FA21 [Total Pts: 1 Score] |2184290,Week 8.1_Australopithecines pt. 1_FA21 [Total Pts: 1 Score] |2184340,Week 8.1_Australopithecines pt. 2_FA21 [Total Pts: 1 Score] |2184341,Week 8.2_Intro to the genus Homo_FA21 [Total Pts: 1 Score] |2184342,Week 9.1_Homo erectus and variants_FA21 [Total Pts: 1 Score] |2192419,"Week 9.2_Archaic H. sapiens, Neanderthals, and AMH pt. 1_FA21 [Total Pts: 1 Score] |2192420","Week 9.2_Archaic H. sapiens, Neanderthals, and AMH pt. 2_FA21 [Total Pts: 1 Score] |2192421",Week 10.1_Origins and Migration of Modern Humans pt 1_FA21 [Total Pts: 1 Score] |2245069,Week 10.1_Origins and Migration of Modern Humans pt 2_FA21 [Total Pts: 1 Score] |2245071,Lab One: Pigeonetics [Total Pts: 20 Score] |2192204,Lab Two: Forces of Evolution [Total Pts: 20 Score] |2192205,Lab 3: Primate Evolution [Total Pts: 20 Score] |2192206,Lab 4: Primate Behavior and Observation [Total Pts: 20 Score] |2238914,Lab 5: The Human Skeleton [Total Pts: 20 Score] |2241953,Lab 6: Austalopithecines and Early Homo [Total Pts: 20 Score] |2239583,Lab 7: Later Members of the Genus Homo [Total Pts: 20 Score] |2244092,Lab 8: Science Literacy [Total Pts: 20 Score] |2191833,Lab 9: Human Variation [Total Pts: 20 Score] |2270771,Lab 10: Bioarchaeology and Forensics [Total Pts: 20 Score] |2244095,Week 4 Lab Session [Total Pts: 5 Score] |2245107,Week 5 Lab Session [Total Pts: 5 Score] |2245108,Week 7 Lab Session [Total Pts: 5 Score] |2245109,Week 8 Lab Session [Total Pts: 5 Score] |2245110,Week 9 Lab Session [Total Pts: 5 Score] |2245113,Week 10 Lab Session [Total Pts: 5 Score] |2245114,Week 12 Lab Session [Total Pts: 5 Score] |2245115,Week 13 Lab Session [Total Pts: 5 Score] |2245118,Week 15 Lab Session [Total Pts: 5 Score] |2245119,Academic Dishonesty Quiz [Total Pts: 5 Score] |2225736,Syllabus Quiz Fall 2021 [Total Pts: 5 Score] |2225737,Extra Credit Survey 1_FA21 [Total Pts: 0 Complete/Incomplete] |2244200,Extra Credit Survey 2_FA21 [Total Pts: 0 Complete/Incomplete] |2273353,Extra Credit Survey 3_FA21 [Total Pts: 0 Complete/Incomplete] |2281812,Survey Extra Credit points [Total Pts: 0 Score] |2245075,Documentary Analysis [Total Pts: 0 Score] |2246930,Bonus Lab: Ethics [Total Pts: 0 Score] |2246984,Exam 1 Study Guide [Total Pts: 0 Score] |2238690,Exam 1_FA2021 [Total Pts: 100 Score] |2238686,Exam 2 Study Guide [Total Pts: 0 Score] |2249403,Exam 2_FA2021 [Total Pts: 100 Score] |2268007,Exam 3 Study Guide [Total Pts: 0 Score] |2273376,Exam 3_FA21 [Total Pts: 100 Score] |2281987,Week 12.1_Intro to Human Variation_FA21 [Total Pts: 1 Score] |2245155,Week 12.1_Human Variation pt 1_FA21 [Total Pts: 1 Score] |2245159,Week 12.1_Human Variation pt 2_FA21 [Total Pts: 1 Score] |2245161,Week 12.2_How race becomes biology pt 1_FA21 [Total Pts: 1 Score] |2245162,Week 12.2_How race becomes biology pt 2_FA21 [Total Pts: 1 Score] |2245163,Week 12.2_How race becomes biology pt 3_FA21 [Total Pts: 1 Score] |2245164,Week 13.1_Diet & Agriculture 1_FA21 [Total Pts: 1 Score] |2251570,Week 13.2_Diet & Agriculture 2 pt. 1_FA21 [Total Pts: 1 Score] |2251571,Week 13.2_Diet & Agriculture 2_part 2_FA21 [Total Pts: 1 Score] |2251572,Week 14.1_Forensic Anthropology_FA21 [Total Pts: 1 Score] |2251644,Week 15.1_Are we still evolving?_FA21 [Total Pts: 1 Score] |2251662,Lecture Total [Total Pts: up to 33 Score] |2272943,Final Grade Letter [Total Pts: 0 Text] |2281847,Final Grade Percentage [Total Pts: up to 588 Percentage] |2281849,Current grade (Weeks 1-11) [Total Pts: up to 402 Percentage] |2273358,Current grade (Weeks 1-11) letter [Total Pts: up to 402 Letter] |2273462,Midterm grade [Total Pts: up to 219 Letter] |2245147,Midterm Grade Percentage [Total Pts: up to 219 Percentage] |2273460,TA and Lab Time [Total Pts: 0 Text] |2225820,ANTH105- Mid-Semester Check-In-L.Smith [Total Pts: 0 Complete/Incomplete] |2244427,Lab 10: Bioarchaeology and Forensics [Total Pts: 0 Score] |2281201,Total Assignment Percentage [Total Pts: up to 245 Percentage] |2292165,Total Exam Percentage [Total Pts: up to 300 Percentage] |2292166,Total Attendance Percentage [Total Pts: up to 33 Percentage] |2292169,Total Extra Credit [Total Pts: 0 Score] |2292170
499.66666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,17.66666,20,17.5,18.5,14.5,9,19,12.5,20,19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Complete,Complete,Complete,6.0,,20,5,72.0,5,58.0,5.0,76.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,B,84.97731999999999,79.8922,C,B,89.3455,,,,86.80271,68.66666,90.90909,41
350.16666000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.66666,In Progress,18,,18,In Progress,12,In Progress,,,5.0,,,5.0,5.0,5.0,,,,5.0,3.5,,,,,,,,80.0,,68.0,,82.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,28.0,D,59.55215,65.21558,D,D,64.45966,KM W3,,,34.14965,76.66666,84.84848000000001,0
482.33313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.83333,20,17.9998,19,20,15.5,0,20,,19,5.0,5.0,5.0,,,5.0,,,,5.0,5.0,Complete,,,,,In Progress,,90.0,,90.0,,92.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,B,82.02944000000001,84.65998,B,A,92.16124,KM W3,,,69.11556,90.66666,93.93939,0
536.8333299999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.33333,17.5,20,18,17.5,15.5,17,19,20,18.5,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,3.5,5.0,,Complete,Complete,4.0,,20,,78.0,,86.0,,88.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,31.0,A,91.29818,86.40132,B,B,88.28005,JH R10,,,90.34013,84.0,93.93939,24
549.16666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.66666,15,18.5,18,18,15,15.5,17.5,20,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Complete,Complete,Complete,6.0,20,20,5,72.0,5,76.0,5.0,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,A,93.39569,89.71807,B,B,85.92084,,Complete,,89.04760999999999,76.0,100.0,61
485.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.6,17,16,19,18.75,17.5,17.5,20,20,20,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,,3.5,5.0,Complete,Complete,Complete,6.0,,,,68.0,,80.0,,74.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,B,82.62755,82.30099,B,C,79.49771,,,,88.30611999999999,74.0,100.0,6
495.6598,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.66,19,18.9998,17.5,18.5,6.5,20,18,20,20,5.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,4.5,Complete,,,2.0,,,,92.0,,82.0,,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,B,84.29588000000001,85.48751,B,A,92.99534,KB F9,,,81.28971,84.0,100.0,2
498.71675999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.16666,19.25,19.0001,19.5,18.8,19.5,19,19,20,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,,5.0,4.5,Complete,Complete,Complete,6.0,,,,80.0,,66.0,,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,30.0,B,84.81577,86.24795,B,A,91.5145,WF M3,,,92.74153000000001,75.33333,90.90909,6
516.6601,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.66,19.5,17.0001,19.5,18.5,19.5,17.5,18.5,12,19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,Complete,Complete,Complete,6.0,,,,80.0,,86.0,,84.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,B,87.86735999999999,90.08957,A,A,90.25575,KB F9,,,88.84085,83.33333,100.0,6
491.8,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,19.5,18.5,17,18.8,18,18,17.5,20,18,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,4.5,5.0,Complete,,Complete,4.0,,,,80.0,,70.0,,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,29.0,B,83.63945,82.41293,B,B,88.35616,JH T10,,,89.5102,76.66666,87.87878,4
444.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,20,18.5,0,19,12,4.5,19.5,20,17,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,5.0,Complete,Complete,Complete,6.0,,0,5,90.0,,70.0,,72.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,C,75.5102,75.74625999999999,C,B,87.21461,,Complete,,64.69386999999999,77.33333,100.0,11
447.21666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.16666,Needs Grading,17,10.25,18.3,0,13.5,0,20,19.5,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,,,,,20,20,,76.0,,66.0,,72.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,C,76.05725,72.06882,D,D,67.99847,,,,61.516999999999996,71.33333,100.0,40
536.1664599999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.66666,20,17.9998,19.5,20,19.5,18.5,20,20,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Complete,Complete,Complete,6.0,,In Progress,5,72.0,5,76.0,5.0,84.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,A,91.18477,89.8424,B,A,90.94358000000001,EW M1,,,98.02712,77.33333,100.0,21
337.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.5,20,13,18,0,16,17.5,0,In Progress,0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,4.0,5.0,,In Progress,,,,,,56.0,,56.0,,54.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,32.0,F,57.31292,65.42288,D,C,73.28766999999999,,,,53.06122,55.333330000000004,96.96969,0
476.99645999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,17.66666,20,15.9998,19,18.83,18.5,14.5,20,20,19.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,In Progress,,,,,,76.0,,68.0,,80.0,,,1.0,,,,,,,,,14.0,B,81.12184,79.97424000000001,C,B,84.7792,EW M1,,,93.46794,74.66666,42.424240000000005,0
543.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,20,20,19.25,20,20,18.5,20,20,20,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,86.0,,88.0,,94.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,A,92.47448,90.48507,A,B,88.69863000000001,,,,95.0,89.33333,100.0,0
486.5,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,18,19,17.5,19,16.5,17.5,18.5,20,19.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Complete,Complete,Complete,6.0,,,,70.0,,72.0,,70.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,30.0,B,82.73809,83.20895,B,B,85.15981,EW M1,,,93.67345999999999,70.66666,90.90909,6
533.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,20,19,20,20,19.5,19,19.5,17,18,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,4.5,4.5,Complete,Complete,Complete,,,20,,80.0,,84.0,,82.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,A,90.64625,89.67661,B,B,89.04109,KM F11,,,92.24489,82.0,96.96969,20
367.6,,1.0,,,,,,,,,,,,,,,,,,,,,18.6,18,17,20,0,16.5,0,0,0,0,5.0,5.0,5.0,5.0,,,,,,4.5,5.0,,,,,,,,80.0,,82.0,,84.0,,,1.0,,,,,,,,,2.0,D,62.516999999999996,70.2985,C,B,81.78081999999999,,,,44.93877,82.0,6.0606,0
398.46676,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.66666,8,17.0001,20,15.3,7.5,16,19,0,0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,4.5,4.5,Complete,Complete,Complete,6.0,,In Progress,,56.0,In Progress,60.0,,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,D,67.76645,68.52405999999999,D,C,74.73368,EW M11,,,64.27214000000001,64.66666,96.96969,6
447.5001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,10.5,10.5001,17.5,16,15.5,12.5,18.5,20,15,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,3.5,,,,,,,,,70.0,5,62.0,5.0,86.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,C,76.10545,71.39305,C,D,69.86305,KM W3,,,74.69391,72.66666,100.0,10
508.9166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.6666,18.75,16,20,20,15.5,17,19,20,18,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Complete,Complete,Complete,6.0,,In Progress,,76.0,,70.0,,86.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,B,86.55044000000001,84.55636,B,B,88.7747,WF M3,,,93.02718,77.33333,100.0,6
293.0001,,,,,,,,,,,,,,,,,,,,,,,13.5,8,14.5001,15.5,18,18,13,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.5,4.0,Complete,Complete,,4.0,,,,56.0,,52.0,,66.0,,,1.0,,,,,,,,,1.0,F,49.82994,56.21893000000001,F,F,57.07767,WF M9,,,43.06126,58.0,3.0303,4
567.03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.5,20,19,19.5,17.03,19.5,18,20,20,18.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,Complete,Complete,,4.0,,,5,96.0,5,88.0,5.0,92.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,32.0,A,96.43366999999999,97.39551999999999,A,A,100.91324,WF M3,,,93.88979,92.0,96.96969,19
437.1601,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.16,18,14.5001,14,14.5,7.5,11.5,11,12,18.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,4.5,Complete,Complete,Complete,6.0,,,5,70.0,5,66.0,,74.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,C,74.34695,73.54728,C,C,76.78543,KB W9,,,70.88167,70.0,100.0,16
543.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.5,20,0,19.5,20,20,19.5,20,20,18,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,4.5,,,Complete,2.0,,0,,96.0,,94.0,,92.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,A,92.34693,92.53730999999999,A,B,89.2694,,Complete,,88.36734,94.0,100.0,2
558.41666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.16666,20,19,20,19.75,17,19,18,20,18.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Complete,Complete,Complete,6.0,20,20,,76.0,,74.0,,86.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,A,94.96880999999999,92.01906,B,A,90.03043000000001,JH T10,,,95.2721,78.66666,100.0,46
430.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.6,18,14,0,0,0,0,18.5,8,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,Complete,,,2.0,20,,,76.0,,84.0,,74.0,,,1.0,,,,,,,,,23.0,C,73.14625,73.03482,D,C,76.07305,,,,58.0,78.0,69.69696,22
579.66676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.66666,19.5,17.0001,19.5,20,18.5,19.5,20,20,19,5.0,,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,Complete,Complete,Complete,,,20,5,88.0,5,94.0,5.0,98.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,A,98.58278,94.94198,A,A,92.08527,KM F11,,,90.47622,93.33333,100.0,35
477.21675999999997,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.16666,17,15.0001,19,17.55,19,16,17.5,17,13,,,5.0,5.0,,5.0,,,,3.0,4.0,Complete,Complete,Complete,,20,16,5,76.0,5,58.0,5.0,74.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,31.0,B,81.15930999999999,80.77531,C,C,78.15833,KM F11,,,73.55785999999999,69.33333,93.93939,51
494.91686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.16666,19,12.0002,19,18.75,14.5,11,18.5,20,13,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,4.0,Complete,Complete,Complete,6.0,,,,86.0,,92.0,,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,B,84.16953000000001,86.4221,B,B,88.20404,KB W9,,,77.10892,86.0,100.0,6
538.3333299999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.83333,17,17,18,18,19.5,19.5,18,20,19.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,Complete,Complete,Complete,6.0,20,20,,66.0,5,70.0,,84.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,A,91.55328,88.51575,B,B,82.57229,EW M1,,,91.56461999999999,73.33333,100.0,51
472.33333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.33333,19.5,17,19.5,19,18.5,20,19,19,In Progress,5.0,,5.0,,,5.0,,,,4.5,5.0,Complete,Complete,Complete,,,,,80.0,,86.0,,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,B,80.32879,85.4063,B,B,85.31201999999999,KM F11,,,75.03401,82.0,100.0,0
467.16675999999995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.66666,0,18.0001,0,20,0,0,19,20,20,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,5.0,,Complete,Complete,4.0,20,14,,92.0,,82.0,5.0,88.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,B,79.45012,72.18078,D,C,73.1355,KB F9,,,48.84357,87.33333,100.0,43
518.6599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.66,20,16.9999,17,16.5,18.5,18.5,20,20,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,Complete,Complete,Complete,6.0,10,,5,58.0,5,78.0,5.0,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,B,88.20746,86.48255999999999,B,B,81.35155,KB F9,,,93.53465,72.0,100.0,31
582.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.75,20,19,18.75,20,20,17.5,20,20,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Complete,Complete,Complete,6.0,,,5,96.0,5,94.0,5.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,32.0,A,98.97959,100.0,A,A,101.59817,KB W9,,,97.55102,93.33333,96.96969,21
427.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.5,19.5,15.9999,0,19,14,3,17,20,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,Complete,Complete,Complete,6.0,,,5,76.0,5,82.0,5.0,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,30.0,C,72.78909,73.88056999999999,C,C,75.79904,KB F9,,,53.06118000000001,79.33333,90.90909,21
531.4164599999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.16666,19.5,16.9998,18.25,16.5,11,19.5,20,20,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,Complete,Complete,Complete,6.0,,,,82.0,,90.0,,88.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,A,90.37694,88.90956,B,A,90.1445,,Complete,,90.98631,86.66666,100.0,6
543.5001,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,20,18.0001,20,20,20,20,20,20,19,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,4.5,5.0,Complete,Complete,Complete,6.0,,,,86.0,5,90.0,5.0,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,A,92.43198000000001,94.15425,A,A,93.83566,KB W9,,,93.87759,85.33333,96.96969,16
