Syllabus Quiz [Total Pts: 5 Score] |1911615,Academic Dishonesty Quiz [Total Pts: 5 Score] |1870591,Week 2 Synch Session [Total Pts: 0 Score] |1934655,Lab 1 Submission Portal [Total Pts: 20 Score] |1870975,Lab 2 Submission Portal [Total Pts: 20 Score] |1880697,Week 4 Synch Session [Total Pts: 10 Score] |1934656,Lab 3 Submission Portal [Total Pts: 20 Score] |1880699,Week 5 Synch Session [Total Pts: 10 Score] |1934657,Lab 4 Submission Portal [Total Pts: 20 Score] |1880700,Week 6 - Synch Session [Total Pts: 10 Score] |1934717,Lab 5 Submission Portal [Total Pts: 20 Score] |1880703,Week 8 - Synch Session [Total Pts: 10 Score] |1934718,Lab 6 Submission Portal [Total Pts: 20 Score] |1880698,Week 9 - Synch Session [Total Pts: 10 Score] |1934720,Lab 7 Submission Portal [Total Pts: 20 Score] |1880702,Week 10 - Synch Session [Total Pts: 10 Score] |1934721,Lab 8 Submission Portal [Total Pts: 20 Score] |1905297,Week 12 - Synch Session [Total Pts: 10 Score] |1934722,Lab 9 Submission Portal [Total Pts: 20 Score] |1880704,Week 13 - Synch Session [Total Pts: 10 Score] |1934723,Lab 10 Submission Portal [Total Pts: 20 Score] |1880701,Week 15 - Synch Session [Total Pts: 10 Score] |1934725,Survey 1 [Total Pts: 0 Complete/Incomplete] |1902274,Survey 2 [Total Pts: 0 Complete/Incomplete] |1902273,All Extra Credit [Total Pts: 0 Score] |1931834,Midterm Attendance [Total Pts: 12 Score] |1934662,Exam 1 [Total Pts: 25 Score] |1943578,End of the semester survey [Total Pts: 0 Complete/Incomplete] |1945103,Exam 2 Fall 2020 [Total Pts: 25 Score] |1996668,Week 10.1_Origins and Migrations of Modern Humans pt. 2 [Total Pts: 2 Score] |2001405,Discussion Grade Total [Total Pts: 0 Text] |2001543,Midterm Percentage [Total Pts: up to 182 Percentage] |2273453,Midterm Grade [Total Pts: 0 Text] |2004473,Week 11.1_Museum Assignment & Intro to Human Variation [Total Pts: 2 Score] |2005571,Submit your Scavenger Hunt Packet HERE [Total Pts: 20 Score] |2006891,Submit your Museum Exhibit Design HERE [Total Pts: 40 Score] |2006893,Exam 3_FA2020 [Total Pts: 25 Score] |2006913,Submit your Peer Evaluation Rubrics HERE [Total Pts: 0 Score] |2009269,Week 13.1_Agriculture and Diet 1 [Total Pts: 1 Score] |2011226,Week 13.2_Agriculture and Diet 2 pt. 1 [Total Pts: 1 Score] |2011228,Week 13.2_Agriculture and Diet 2 pt. 2 [Total Pts: 2 Score] |2011229,Week 13_Pre-Lab Session Survey [Total Pts: 0 Complete/Incomplete] |2011877,Week 14.1_Forensic Anthropology [Total Pts: 2 Score] |2014015,Week 15.1_Are we still evolving? [Total Pts: 2 Score] |2018467,Optional Post-Lab 9 Survey for Extra Credit [Total Pts: 0 Complete/Incomplete] |2019144,Survey 3_FA2020 [Total Pts: 0 Complete/Incomplete] |2019403,Exam 4_FA2020 [Total Pts: 25 Score] |2021351,Total attendance grade (entire semester) [Total Pts: 30 Text] |2023789,Final Points [Total Pts: 0 Score] |2023926,Final Percentage [Total Pts: 0 Text] |2023928,Final Letter Grade [Total Pts: 0 Text] |2027259,Total Assignment Percentage [Total Pts: up to 350 Percentage] |2292064,Total Exam Percentage [Total Pts: up to 100 Percentage] |2292068,Total Attendance Percentage [Total Pts: up to 30 Percentage] |2292083,Total Extra Credit [Total Pts: 0 Score] |2292090
4.5,5.0,10.0,13.5,16,10.0,15,10.0,18.0,10.0,16.5,10.0,0,10.0,0.0,10.0,17.25,0.0,18.5,10.0,14.0,0.0,Complete,,3.0,12.0,22.0,,14.0,2.0,7.0,82.41758,C,2.0,19.0,36.0,15.0,Needs Grading,1.0,1.0,2.0,Complete,,2.0,Complete,Complete,16.0,27.0,367.25,70.6,C,72.5,67,90,3
4.5,5.0,10.0,19.5,20,10.0,19.25,9.0,20.0,10.0,19.75,10.0,20,10.0,18.5,10.0,19.75,10.0,20.0,10.0,19.25,10.0,Complete,In Progress,3.0,12.0,0.0,,21.0,2.0,14.0,82.55494,C,2.0,20.0,40.0,17.0,4,1.0,1.0,2.0,Complete,2.0,1.0,Complete,Complete,18.0,28.5,456.5,87.79,B,98.57141999999999,56,95,3
3.0,5.0,0.0,15.5,20,10.0,18,0.0,19.0,0.0,15.0,10.0,0,0.0,17.0,0.0,17.0,0.0,19.0,0.0,19.0,0.0,,,0.0,12.0,8.0,,21.0,,6.0,72.25274,F,,18.0,34.5,16.0,Needs Grading,,,,Complete,,,,,,12.0,315.0,61.0,D,66.28571,45,40,0
5.0,5.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,12.0,0.0,,0.0,,0.0,12.08791,F,,0.0,0.0,0.0,,,,,,,,,,,12.0,,,,0.0,0,40,0
4.0,5.0,10.0,20,20,10.0,0,10.0,16.5,10.0,0.0,10.0,0,10.0,16.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,,,2.0,12.0,21.0,,21.0,0.0,10.0,82.14285,C,0.0,20.0,40.0,20.0,0,0.0,0.0,0.0,Complete,0.0,0.0,,,23.0,12.0,360.5,69.0,D,63.571419999999996,85,40,2
4.5,5.0,10.0,18.25,19.75,10.0,16.5,10.0,20.0,10.0,16.0,10.0,18,10.0,18.5,10.0,17.5,10.0,19.5,10.0,18.75,10.0,Complete,Complete,4.0,12.0,23.0,,11.0,2.0,28.0,87.91208,B,2.0,0.0,36.5,12.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,17.0,30.0,461.75,88.79,B,88.35714,63,100,4
5.0,4.5,10.0,19,20,10.0,19,10.0,20.0,10.0,18.0,10.0,20,10.0,20.0,10.0,19.0,10.0,20.0,10.0,20.0,10.0,Complete,,3.0,12.0,24.0,,22.0,2.0,28.0,96.42857,A,2.0,20.0,40.0,21.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,In Progress,Complete,20.0,30.0,503.5,95.0,A,98.57141999999999,87,100,3
3.5,5.0,10.0,18.75,19,10.0,19,10.0,19.5,10.0,17.5,10.0,15,10.0,14.0,10.0,18.25,10.0,17.25,10.0,17.75,10.0,Complete,,3.0,12.0,18.0,,19.0,2.0,23.0,89.97251999999999,B,2.0,15.75,35.5,12.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,In Progress,,15.0,30.0,445.75,85.72,B,90.64285,64,100,3
5.0,5.0,10.0,20,20,10.0,20,10.0,19.0,10.0,18.75,10.0,19.5,10.0,18.0,10.0,16.0,10.0,19.0,10.0,19.0,10.0,Complete,Complete,4.0,12.0,21.0,,20.0,2.0,20.0,94.50549000000001,A,2.0,20.0,40.0,19.0,0,1.0,1.0,2.0,Complete,2.0,2.0,,Complete,19.0,30.0,492.25,95.0,A,96.92857,79,100,4
4.0,5.0,0.0,18,20,10.0,20,0.0,20.0,10.0,20.0,10.0,20,10.0,18.0,10.0,20.0,10.0,20.0,10.0,20.0,0.0,Complete,Complete,6.0,12.0,25.0,,24.0,2.0,25.0,92.30769000000001,A,2.0,19.0,35.0,18.0,Needs Grading,,,,Complete,2.0,,Complete,Complete,20.0,21.0,468.0,90.0,A,91.42857,87,70,6
4.5,5.0,10.0,18.5,19.5,10.0,19,10.0,20.0,10.0,18.75,10.0,18,10.0,18.5,10.0,19.0,10.0,20.0,10.0,18.0,10.0,Complete,Complete,6.0,12.0,25.0,,23.0,2.0,30.0,96.97802,A,2.0,20.0,40.0,21.0,0,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,19.0,30.0,501.75,96.0,A,96.92857,88,100,6
4.5,3.5,10.0,18,5,10.0,20,10.0,19.0,10.0,19.0,10.0,19,10.0,20.0,10.0,18.75,10.0,20.0,10.0,17.0,10.0,Complete,Complete,16.0,12.0,21.0,,19.0,2.0,10.0,83.51648,B,2.0,19.0,40.0,19.0,0,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,17.0,30.0,484.75,93.0,A,92.78571,76,100,16
0.0,0.0,10.0,19,19.75,10.0,20,10.0,19.5,0.0,17.5,10.0,18.5,10.0,18.5,10.0,0.0,10.0,20.0,10.0,18.0,10.0,,,2.0,12.0,25.0,,22.0,0.0,10.0,86.40109,B,0.0,20.0,37.0,14.0,0,0.0,0.0,0.0,,0.0,0.0,,,16.0,12.0,428.75,82.0,B,87.92857,77,40,2
4.5,4.5,10.0,19.5,19.5,10.0,19.5,10.0,19.5,10.0,20.0,10.0,17.5,10.0,19.0,10.0,20.0,10.0,19.5,10.0,19.0,10.0,Complete,Complete,1.0,12.0,23.0,,23.0,2.0,28.0,96.15384,A,2.0,20.0,40.0,22.0,0,1.0,1.0,2.0,Complete,2.0,2.0,,,23.0,30.0,503.0,97.0,A,98.0,91,100,1
5.0,5.0,0.0,19.75,19.75,10.0,0,10.0,20.0,10.0,19.0,10.0,16.5,10.0,9.75,10.0,17.5,10.0,19.5,10.0,18.75,10.0,Complete,Complete,4.0,12.0,24.0,,19.0,2.0,28.0,84.8901,B,2.0,19.0,35.5,14.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,15.0,30.0,448.5,86.25,B,87.14285,72,100,4
5.0,4.0,10.0,20,19.5,10.0,19.5,10.0,20.0,10.0,19.75,10.0,18,8.0,19.5,10.0,20.0,10.0,19.0,10.0,19.0,10.0,Complete,Complete,4.0,12.0,25.0,,22.0,2.0,30.0,97.25274,A,2.0,19.5,40.0,19.0,0,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,19.0,30.0,498.75,96.0,A,97.64285,85,100,4
5.0,5.0,10.0,14,20,10.0,19,10.0,20.0,10.0,19.0,10.0,20,10.0,18.0,10.0,19.0,10.0,20.0,10.0,20.0,10.0,Complete,Complete,2.0,12.0,24.0,,20.0,2.0,28.0,92.85714,A,2.0,19.0,40.0,18.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,,,14.0,30.0,484.0,93.08,A,96.57141999999999,76,100,2
4.5,5.0,10.0,14.5,15,10.0,10.5,10.0,18.75,10.0,16.5,5.0,11,10.0,10.25,10.0,0.0,10.0,17.0,10.0,17.0,10.0,Complete,Complete,11.0,12.0,20.0,,17.0,,29.0,80.90659000000001,B,2.0,18.25,34.0,12.0,Needs Grading,,,,Complete,,,Complete,Complete,11.0,15.0,404.5,77.78,C,76.5,60,50,11
4.5,4.5,10.0,18,20,10.0,19,10.0,19.0,10.0,20.0,10.0,19,10.0,20.0,10.0,18.25,10.0,20.0,10.0,20.0,10.0,Complete,,1.0,12.0,25.0,,24.0,,30.0,96.70329,A,,20.0,38.0,22.0,Needs Grading,1.0,,,Complete,1.0,1.0,,,24.0,16.5,492.5,93.0,A,97.5,95,55,1
4.5,5.0,10.0,19.5,19.75,10.0,19.5,10.0,20.0,10.0,19.75,10.0,16,10.0,17.75,10.0,13.75,0.0,19.5,8.0,17.5,0.0,Complete,Complete,2.0,12.0,25.0,,19.0,2.0,26.0,95.74175,A,2.0,20.0,36.0,20.0,Needs Grading,,,,In Progress,2.0,,,,13.0,21.0,442.5,85.09,B,87.71428,77,70,2
,4.5,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,12.0,0.0,,,,0.0,9.06593,F,,,,,,,,,,,,,,,12.0,,,,0.0,0,40,0
4.5,0.0,0.0,7,17,10.0,13.5,10.0,17.5,10.0,16.0,0.0,0,10.0,12.0,10.0,16.5,10.0,18.5,10.0,17.0,10.0,Complete,Complete,2.0,12.0,17.0,,11.0,0.0,3.0,71.15384,D,0.0,18.5,35.0,11.0,0,0.0,0.0,0.0,Complete,0.0,0.0,Complete,Complete,17.0,12.0,347.0,67.0,D,76.71428,56,40,2
4.5,3.5,0.0,0,14,10.0,7.5,10.0,8.0,10.0,11.125,0.0,15,10.0,14.0,10.0,18.5,10.0,19.0,10.0,11.0,10.0,Complete,,3.0,12.0,19.0,,19.0,2.0,22.0,64.56043000000001,D,2.0,15.0,40.0,14.0,Needs Grading,,,,Complete,,,Complete,Complete,9.0,18.0,365.125,70.2,C,72.32141999999999,61,60,3
4.5,4.5,10.0,20,20,10.0,18.5,10.0,20.0,10.0,0.0,10.0,18.5,10.0,15.0,10.0,19.0,10.0,18.0,10.0,16.0,10.0,,Complete,10.0,12.0,25.0,,24.0,0.0,10.0,98.07692,A,2.0,19.0,32.0,19.0,0,0.0,0.0,0.0,Complete,2.0,2.0,Complete,Complete,14.0,21.0,458.0,88.0,A,87.42857,82,70,10
4.5,3.5,10.0,0,20,0.0,16,10.0,19.0,10.0,18.5,10.0,18.5,10.0,17.0,10.0,17.5,10.0,18.0,10.0,20.0,0.0,Complete,,3.0,12.0,23.0,,14.0,2.0,20.0,72.52747,C,0.0,19.0,40.0,10.0,0,0.0,1.0,2.0,Complete,2.0,2.0,,,15.0,25.5,422.0,81.0,B,83.85714,62,85,3
4.0,3.5,0.0,19,19,10.0,20,7.0,18.5,0.0,16.0,10.0,18,10.0,18.0,10.0,16.0,10.0,,0.0,19.0,10.0,Complete,Complete,3.0,12.0,25.0,,19.0,2.0,22.0,86.26373000000001,B,2.0,19.0,37.0,19.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,21.0,30.0,445.0,86.0,B,81.85714,84,100,3
0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,12.0,0.0,,0.0,,0.0,6.5934,F,,0.0,0.0,0.0,,,,,,,,,,0.0,12.0,12.0,2.3,,0.0,0,40,0
4.5,4.5,0.0,17,18,10.0,17,10.0,20.0,10.0,18.0,0.0,18,10.0,16.0,10.0,19.0,10.0,20.0,10.0,20.0,0.0,,Complete,3.0,12.0,17.0,,19.0,2.0,28.0,87.36263000000001,B,2.0,17.0,32.0,18.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,17.0,30.0,443.0,85.19,B,86.28571,71,100,3
4.0,5.0,10.0,10,10,10.0,10,10.0,19.0,10.0,10.0,0.0,0,10.0,0.0,10.0,0.0,10.0,19.5,10.0,0.0,0.0,Complete,,3.0,12.0,25.0,,0.0,0.0,10.0,68.68131,F,0.0,0.0,40.0,16.0,0,0.0,0.0,0.0,,0.0,0.0,,,16.0,12.0,300.0,58.0,D,53.85714,57,40,3
0.0,0.0,10.0,10,20,10.0,17,10.0,20.0,10.0,20.0,10.0,19,10.0,10.5,10.0,16.0,10.0,20.0,10.0,20.0,10.0,Complete,,1.0,12.0,24.0,,16.0,,3.0,81.86813000000001,C,2.0,19.0,40.0,12.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,,,17.0,27.0,421.5,80.0,B,91.85714,69,90,1
5.0,5.0,10.0,19,19.5,10.0,19,10.0,20.0,10.0,18.75,10.0,20,10.0,18.5,10.0,17.75,10.0,20.0,10.0,19.0,10.0,,Complete,3.0,12.0,23.0,,20.0,2.0,20.0,94.78021,A,2.0,20.0,40.0,20.0,0,1.0,1.0,2.0,In Progress,2.0,2.0,Complete,Complete,24.0,30.0,501.5,96.0,A,97.57141999999999,87,100,3
4.5,5.0,10.0,17,20,10.0,20,10.0,19.5,10.0,20.0,10.0,17,10.0,20.0,10.0,20.0,10.0,20.0,10.0,8.0,10.0,Complete,Complete,1.0,12.0,25.0,,24.0,0.0,25.0,97.25274,A,0.0,20.0,34.0,24.0,0,0.0,0.0,0.0,Complete,0.0,0.0,Complete,Complete,25.0,12.0,471.0,91.0,A,93.0,98,40,1
5.0,4.0,10.0,19.25,20,10.0,19,10.0,19.5,10.0,0.0,10.0,18,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,Complete,Complete,2.0,12.0,17.0,,18.0,,24.0,89.97251999999999,B,,18.0,36.0,16.0,Needs Grading,,,,In Progress,,,,,,12.0,,,,59.92856999999999,51,40,2
5.0,5.0,10.0,18.5,19.5,10.0,16.75,10.0,19.5,10.0,19.5,10.0,19.5,10.0,20.0,10.0,19.0,10.0,18.0,10.0,18.5,10.0,Complete,Complete,4.0,12.0,21.0,,20.0,2.0,30.0,91.8956,A,2.0,20.0,39.0,21.0,0,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,20.0,30.0,492.75,95.0,A,96.5,82,100,4
4.0,4.5,10.0,18,20,10.0,14,10.0,19.0,10.0,0.0,10.0,17,10.0,17.0,10.0,18.0,10.0,19.0,10.0,19.0,10.0,,,2.0,12.0,25.0,,19.0,2.0,26.0,90.93406,A,,16.0,32.0,17.0,Needs Grading,0.0,,,Complete,2.0,2.0,Complete,Complete,14.0,21.0,431.5,83.0,B,85.42857,75,70,2
5.0,4.0,10.0,13.5,20,10.0,19.25,0.0,18.25,10.0,19.25,10.0,15.75,10.0,14.0,10.0,20.0,10.0,17.0,8.0,18.0,10.0,,,3.0,12.0,25.0,,25.0,2.0,19.5,89.01098,B,2.0,17.0,40.0,22.0,Needs Grading,1.0,1.0,2.0,,2.0,2.0,,Complete,23.0,15.0,451.5,86.8,B,88.78787,95,50,3
0.0,0.0,10.0,14,20,10.0,19,10.0,19.5,10.0,18.0,10.0,20,10.0,20.0,10.0,17.5,10.0,20.0,10.0,20.0,10.0,Complete,Complete,1.0,12.0,25.0,,20.0,2.0,30.0,87.63736,B,2.0,17.0,38.0,19.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,17.0,30.0,476.0,90.0,A,95.14285,81,100,1
4.5,3.0,10.0,16,15,10.0,0,10.0,19.5,0.0,0.0,10.0,0,10.0,16.0,10.0,16.0,0.0,0.0,0.0,0.0,10.0,Complete,,2.0,12.0,14.0,,10.0,,16.0,62.63736,D,,17.5,37.0,,Needs Grading,,,,Complete,,,,,,12.0,270.5,52.0,F,56.285709999999995,24,40,2
5.0,4.0,10.0,18.5,20,10.0,16.25,10.0,19.75,10.0,0.0,10.0,0,0.0,18.0,10.0,19.25,9.0,19.75,0.0,0.0,0.0,Complete,,5.0,12.0,25.0,,16.0,,0.0,91.48351,C,,0.0,30.0,14.0,1,,,,,,,Complete,Complete,20.0,12.0,319.5,61.44,D,63.0,75,40,5
5.0,4.5,10.0,17,19.5,10.0,20,10.0,19.0,10.0,19.5,10.0,19.5,10.0,18.5,10.0,19.5,10.0,20.0,10.0,18.0,10.0,Complete,Complete,4.0,12.0,25.0,,25.0,2.0,30.0,97.25274,A,2.0,19.5,40.0,23.0,0,1.0,1.0,2.0,Complete,2.0,2.0,,,22.0,30.0,509.5,98.0,A,97.14285,95,100,4
5.0,5.0,10.0,16.5,18.5,10.0,17.5,10.0,20.25,10.0,19.625,5.0,17.25,10.0,20.0,10.0,18.5,10.0,20.0,10.0,20.0,10.0,Complete,Complete,4.0,12.0,25.0,,22.0,2.0,24.0,94.36813000000001,A,2.0,20.0,34.0,24.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,24.0,30.0,490.125,94.3,A,93.46428,95,100,4
4.5,4.5,10.0,18.25,19.75,10.0,19,10.0,20.0,10.0,18.75,10.0,19,10.0,17.75,10.0,18.5,10.0,19.5,10.0,18.5,10.0,Complete,Complete,21.0,12.0,23.0,,15.0,2.0,28.5,91.20879000000001,A,2.0,20.0,34.5,12.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,19.0,30.0,491.0,94.42,A,95.28571,69,100,21
5.0,5.0,10.0,15.5,18,10.0,19.25,10.0,19.75,10.0,17.625,10.0,16.75,10.0,20.0,10.0,18.75,10.0,19.0,10.0,19.0,10.0,Complete,Complete,4.0,12.0,25.0,,24.0,2.0,29.0,95.32967,A,,20.0,40.0,24.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,24.0,27.0,500.625,96.3,A,95.32141999999999,97,90,4
5.0,3.5,,20,20,10.0,19,10.0,20.0,10.0,20.0,10.0,20,10.0,12.0,10.0,18.5,10.0,20.0,10.0,20.0,10.0,Complete,Complete,3.0,12.0,25.0,,22.0,2.0,21.0,96.97802,A,2.0,20.0,36.0,19.0,Needs Grading,1.0,1.0,1.0,Complete,2.0,2.0,Complete,Complete,21.0,22.5,496.25,95.0,A,95.85714,87,75,3
4.0,4.5,0.0,19,19,10.0,17,0.0,0.0,10.0,,10.0,,,,,,0.0,,,,,,,0.0,12.0,18.0,,,,0.0,62.36263,C,,,,,,,,,,,,,,,12.0,,,,24.28571,18,40,0
0.0,0.0,10.0,0,0,0.0,0,0.0,0.0,0.0,14.5,10.0,Needs Grading,10.0,0.0,0.0,,,,,,,,,0.0,12.0,19.0,,17.0,,,26.373620000000003,F,,,,,,,,,,,,,,,12.0,,,,10.45454,36,40,0
4.5,3.5,10.0,19.75,19.5,10.0,19.75,10.0,20.0,10.0,18.0,10.0,20,10.0,18.25,10.0,19.25,10.0,19.75,10.0,20.0,10.0,Complete,Complete,4.0,12.0,25.0,,18.0,2.0,28.0,94.50549000000001,A,,19.75,40.0,17.0,2,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,19.0,27.0,491.0,94.42,A,98.28571,79,90,4
5.0,4.5,0.0,0,19,10.0,18.5,10.0,20.0,5.0,16.25,0.0,20,10.0,19.25,10.0,12.75,10.0,14.0,0.0,18.5,10.0,Complete,,3.0,12.0,25.0,,22.0,2.0,14.0,82.96703000000001,C,,20.0,35.0,22.0,2,,,,,,,Complete,Complete,22.0,15.0,409.75,78.8,B,79.5,91,50,3
4.5,4.5,10.0,19.5,19.75,10.0,19,10.0,19.5,10.0,0.0,10.0,14,10.0,0.0,10.0,8.5,10.0,14.75,8.0,0.0,10.0,Complete,Complete,4.0,12.0,25.0,,17.0,2.0,18.5,93.81868,A,2.0,16.25,34.0,14.0,Needs Grading,1.0,1.0,2.0,In Progress,2.0,2.0,Complete,Complete,18.0,30.0,388.75,74.75,C,72.35714,74,100,4
4.0,3.5,10.0,18,0,10.0,18,10.0,20.0,10.0,18.0,0.0,18,10.0,18.0,10.0,18.0,10.0,20.0,10.0,18.0,10.0,,,0.0,12.0,20.0,,19.0,0.0,10.0,79.3956,C,,18.0,34.0,18.0,Needs Grading,0.0,,,Complete,2.0,,,,15.0,15.0,402.5,77.4,C,85.14285,72,50,0
4.5,4.0,10.0,17.5,19,10.0,19,10.0,19.5,0.0,16.0,10.0,15,10.0,15.0,10.0,14.0,0.0,18.5,10.0,16.5,10.0,Complete,Complete,3.0,12.0,24.0,,21.0,2.0,30.0,88.18681,B,2.0,19.0,37.0,,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,17.0,30.0,441.5,85.0,B,84.57141999999999,62,100,3
4.5,5.0,0.0,19,18,10.0,18.5,10.0,20.0,10.0,20.0,10.0,17,10.0,17.5,0.0,18.0,10.0,19.0,10.0,19.5,10.0,Complete,Complete,2.0,12.0,25.0,,22.0,2.0,20.0,95.60439000000001,A,2.0,20.0,39.0,21.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,In Progress,Complete,18.0,30.0,485.0,93.0,A,93.0,86,100,2
5.0,4.0,10.0,19,20,10.0,18,7.0,20.0,10.0,20.0,10.0,20,10.0,10.0,10.0,19.25,10.0,20.0,10.0,20.0,10.0,Complete,Complete,2.0,12.0,25.0,,16.0,2.0,24.0,91.20879000000001,A,2.0,19.0,40.0,19.0,Needs Grading,1.0,1.0,,Complete,2.0,2.0,,,14.0,18.0,461.25,87.0,B,94.92857,74,60,2
5.0,5.0,0.0,17,18,10.0,19,10.0,20.0,10.0,17.0,0.0,19,10.0,19.0,10.0,20.0,10.0,20.0,10.0,17.0,10.0,Complete,Complete,6.0,12.0,23.0,,20.0,2.0,23.0,92.85714,A,,20.0,34.0,20.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,21.0,27.0,470.0,90.4,A,91.42857,84,90,6
4.5,5.0,10.0,18.5,19.75,10.0,18.5,10.0,20.0,10.0,19.0,7.0,19.75,10.0,19.25,10.0,19.0,10.0,19.25,10.0,19.5,0.0,Complete,,1.0,12.0,23.0,,17.0,2.0,26.0,92.44505,A,,20.0,32.0,13.0,2,1.0,,,Complete,,2.0,,,11.0,19.5,442.0,85.0,B,91.85714,64,65,1
5.0,4.0,0.0,14,19,10.0,10,10.0,20.0,10.0,20.0,10.0,20,10.0,19.0,0.0,14.0,10.0,18.0,8.0,20.0,10.0,Complete,,3.0,12.0,24.0,,22.0,2.0,18.0,87.91208,B,2.0,19.0,38.0,15.0,Needs Grading,1.0,1.0,,Complete,2.0,2.0,In Progress,Complete,21.0,27.0,448.0,86.15,B,88.28571,82,90,3
4.5,5.0,10.0,0,15,10.0,0,10.0,20.75,10.0,18.125,10.0,14.25,0.0,13.5,0.0,18.0,0.0,18.5,10.0,15.5,10.0,Complete,,8.0,12.0,24.0,,16.0,2.0,19.0,69.91758,D,2.0,18.5,36.0,20.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,24.0,30.0,398.625,76.7,C,70.89285,84,100,8
,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.0,0.0,,,,0.0,6.5934,F,,,,,,,,,,,,,,,12.0,,,,0.0,0,40,0
4.5,4.0,10.0,20,19,10.0,19,10.0,20.0,10.0,20.0,10.0,20,10.0,18.0,0.0,20.0,0.0,20.0,10.0,20.0,10.0,Complete,In Progress,2.0,12.0,22.0,,22.0,2.0,28.0,94.78021,A,2.0,0.0,40.0,23.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,,,23.0,30.0,464.5,90.0,A,87.42857,90,100,2
4.5,5.0,0.0,19,20,0.0,10,0.0,20.0,0.0,18.0,10.0,20,10.0,0.0,0.0,18.0,10.0,0.0,10.0,0.0,10.0,Complete,,3.0,12.0,25.0,,19.0,0.0,16.0,73.90109,C,,20.0,34.0,11.0,Needs Grading,0.0,,,Complete,,,,Complete,21.0,12.0,345.5,66.4,D,65.42857,76,40,3
5.0,4.5,0.0,17.5,19,10.0,16.75,10.0,19.5,10.0,19.5,10.0,18.5,10.0,19.5,10.0,19.5,10.0,19.0,10.0,19.0,10.0,Complete,Complete,1.0,12.0,23.0,,22.0,2.0,21.0,92.9945,A,2.0,19.5,39.0,21.0,0,1.0,1.0,2.0,Complete,2.0,2.0,,,23.0,30.0,487.75,94.0,A,96.07141999999999,89,100,1
5.0,4.0,10.0,19.5,18.5,10.0,18.5,10.0,17.0,10.0,17.0,10.0,15,10.0,15.0,10.0,13.0,10.0,18.5,10.0,17.5,10.0,Complete,Complete,3.0,12.0,24.0,,12.0,2.0,24.0,88.18681,B,2.0,16.5,38.0,18.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,15.0,30.0,461.0,89.0,A,89.71428,69,100,3
4.5,5.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,12.0,25.0,,,,0.0,25.54945,F,,0.0,0.0,,,,,,,,,,,,12.0,,,F,0.0,25,40,0
5.0,5.0,10.0,18,19.5,10.0,18,10.0,19.5,10.0,18.75,10.0,15.75,10.0,17.0,10.0,19.75,10.0,19.0,10.0,0.0,10.0,Complete,Complete,6.0,12.0,25.0,,24.0,2.0,29.0,96.70329,A,2.0,20.0,40.0,22.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,22.0,30.0,483.25,92.9,A,90.07141999999999,93,100,6
