Food Allergies Survey [Total Pts: 0 Complete/Incomplete] |1479492,Academic Integrity Quiz [Total Pts: 10 Score] |1479493,Syllabus Quiz [Total Pts: 10 Score] |1494922,Pre-Lab 1 [Total Pts: 5 Score] |1496771,Lab 1 [Total Pts: 20 Score] |1496772,Pre-Lab 2 [Total Pts: 5 Score] |1496773,Lab 2 [Total Pts: 20 Score] |1496774,Pre-Lab 3 [Total Pts: 5 Score] |1496775,Lab 3 [Total Pts: 20 Score] |1496776,Pre-Lab 4 [Total Pts: 5 Score] |1496777,Lab 4 [Total Pts: 20 Score] |1496778,Pre-Lab 5 [Total Pts: 5 Score] |1496779,Lab 5 [Total Pts: 20 Score] |1496780,Pre-Lab 6 [Total Pts: 5 Score] |1496781,Lab 6 [Total Pts: 20 Score] |1496782,Pre-Lab 7 [Total Pts: 5 Score] |1496783,Lab 7 [Total Pts: 20 Score] |1496784,Pre-Lab 8 [Total Pts: 5 Score] |1496785,Lab 8 [Total Pts: 20 Score] |1496786,Pre-Lab 9 [Total Pts: 5 Score] |1496787,Lab 9 [Total Pts: 20 Score] |1496788,Pre-Lab 10 [Total Pts: 5 Score] |1496789,Lab 10 [Total Pts: 20 Score] |1496790,E&E #1 [Total Pts: 1 Score] |1496793,E&E #2 [Total Pts: 2 Score] |1496794,E&E #3 [Total Pts: 2 Score] |1496795,E&E #4 [Total Pts: 2 Score] |1496796,E&E #5 [Total Pts: 2 Score] |1496797,E&E #6 [Total Pts: 4 Score] |1496798,E&E #7 [Total Pts: 2 Score] |1496799,E&E #8 [Total Pts: 5 Score] |1496800,E&E #9 [Total Pts: 3 Score] |1496801,E&E #10 [Total Pts: 3 Score] |1496802,E&E #12 [Total Pts: 4 Score] |1496804,E&E #13 [Total Pts: 2 Score] |1496805,E&E #14 [Total Pts: 4 Score] |1496806,E&E Running Total [Total Pts: up to 36 Score] |1496808,Documentary Review Extra Credit [Total Pts: 0 Score] |1522564,ANTH 105 Midterm Instruction Assessment [Total Pts: 0 Complete/Incomplete] |1535043,Midterm Grade Percentage Column [Total Pts: up to 133 Percentage] |1548277,Midterm Letter Grade [Total Pts: 0 Text] |1548278,March Mammal Madness Extra Credit [Total Pts: 0 Score] |1550204,Documentary Lab Questions [Total Pts: 25 Score] |1556627,Exam 1 [Total Pts: 40 Score] |1556814,Lincoln Park Zoo Assignment [Total Pts: 30 Score] |1561597,Field Museum Scavenger Hunt [Total Pts: 50 Score] |1561598,Misc. Extra Credit [Total Pts: 0 Score] |1566943,Final Percentage [Total Pts: 475 Percentage] |1566944,Final Letter Grade [Total Pts: 100 Text] |1566946,Exam 2 [Total Pts: 40 Score] |1567890,Inquizitive Extra Credit [Total Pts: 0 Score] |1568003,Date Last Attendance [Total Pts: 0 Text] |1569614,Total Assignment Percentage [Total Pts: up to 355 Percentage] |2291801,Total Exam Percentage [Total Pts: up to 80 Percentage] |2291807,Total Attendance Percentage [Total Pts: up to 36 Percentage] |2291808,Total Extra Credit [Total Pts: 0 Score] |2291988
Complete,10.0,9.0,5.0,19.0,5.0,18.0,5.0,15.5,5.0,19.0,5.0,20.0,5.0,17.5,4.5,20.0,2.0,20.0,5.0,20.0,5.0,20.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,Complete,86.8421,B,,17.5,33.0,30.0,49.0,,89.26315,B,26.0,,,93.52112,73.75,19.44444,0.0
Complete,10.0,10.0,4.5,19.0,5.0,20.0,5.0,17.25,5.0,20.0,5.0,20.0,5.0,18.0,3.5,20.0,5.0,19.5,5.0,20.0,5.0,20.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,5.0,3.0,3.0,,2.0,4.0,26.0,,Complete,92.29323000000001,A,,25,38.0,29.0,49.5,,96.68421,A,36.0,,,97.25352,92.5,72.22222,0.0
Complete,10.0,10.0,5.0,18.0,5.0,16.0,4.0,19.0,5.0,17.0,5.0,17.0,5.0,15.0,5.0,18.5,3.0,18.0,4.0,19.0,5.0,20.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,5.0,0.0,2.0,3.0,,,23.0,5.0,Complete,90.22556,A,,25,32.0,26.0,45.5,,90.52631,A,33.0,,,90.14084,81.25,63.88888000000001,5.0
Complete,10.0,10.0,5.0,20.0,5.0,17.0,5.0,18.0,3.0,19.0,4.0,18.0,4.0,19.0,5.0,19.5,4.0,20.0,4.0,17.0,4.0,20.0,,2.0,1.0,2.0,2.0,4.0,,3.0,3.0,3.0,4.0,2.0,4.0,30.0,,Complete,92.4812,A,5.0,25,35.0,28.0,47.0,,94.0,A,36.0,,,93.09859,88.75,83.33333,5.0
Complete,10.0,9.0,5.0,19.0,4.0,20.0,4.0,16.0,4.0,20.0,5.0,19.0,4.0,18.0,5.0,18.5,5.0,18.0,5.0,20.0,5.0,20.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,,Complete,88.7218,B,,12.5,34.0,30.0,50.0,,87.57894,B,14.0,,,92.11267,60.0,30.55555,0.0
Complete,0.0,10.0,0.0,0.0,5.0,19.0,5.0,20.0,5.0,19.5,5.0,19.5,4.5,19.5,4.0,19.0,4.0,19.5,5.0,19.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Complete,62.78195,D,,20,38.0,27.5,41.5,1.0,80.52631,B,29.0,,,85.77464,83.75,0.0,1.0
,10.0,9.0,4.0,19.0,5.0,20.0,5.0,20.0,5.0,19.5,5.0,20.0,3.0,20.0,4.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,,2.0,,2.0,,,,4.0,3.0,,3.0,2.0,4.0,20.0,,Complete,90.6015,A,,22.5,34.0,29.0,43.0,,89.68421,A,38.0,5.0,,95.49295,90.0,55.55555,5.0
Complete,9.0,10.0,4.0,19.0,3.5,16.0,4.0,15.5,4.0,18.0,4.0,16.0,0.0,18.0,5.0,18.5,4.5,18.5,5.0,18.0,4.0,18.0,1.0,0.0,1.0,2.0,2.0,0.5,2.0,3.5,3.0,3.0,4.0,2.0,4.0,28.0,5.0,Complete,82.33081999999999,B,,0,23.0,27.0,33.0,2.0,76.73684,C,22.0,,,77.04225,56.25,77.77776999999999,7.0
Complete,9.0,10.0,4.0,19.0,5.0,18.5,0.0,0.0,5.0,19.5,4.0,17.5,4.5,18.5,2.0,19.0,4.0,19.0,2.5,18.0,1.0,15.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,In Progress,69.92481,D,,22.5,35.0,26.5,41.0,1.0,79.57894,B,34.0,,,80.56338000000001,86.25,8.33333,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Complete,9.0,10.0,4.5,19.0,5.0,19.0,5.0,17.0,5.0,19.0,5.0,20.0,4.5,20.0,4.5,20.0,3.0,20.0,5.0,20.0,5.0,20.0,1.0,2.0,1.5,2.0,1.0,0.0,2.0,5.0,3.0,3.0,4.0,2.0,4.0,30.5,,Complete,90.22556,A,,22.5,32.0,29.5,50.0,,96.73684,A,26.0,,,96.47887,72.5,84.72222,0.0
Complete,9.0,9.0,5.0,20.0,4.0,18.5,5.0,18.5,5.0,16.0,5.0,19.0,5.0,19.0,3.0,19.0,5.0,18.0,5.0,20.0,5.0,20.0,1.0,2.0,2.0,1.0,4.0,,2.0,5.0,,1.0,4.0,2.0,4.0,28.0,,Complete,90.22556,A,,22.5,28.0,29.0,48.0,1.0,91.47368,A,33.0,,,94.22535,76.25,77.77776999999999,1.0
Complete,9.0,9.0,5.0,20.0,5.0,18.0,5.0,17.0,4.0,16.0,5.0,18.0,4.0,19.0,3.0,19.5,3.0,18.5,4.0,18.0,5.0,20.0,,,,2.0,,2.0,2.0,5.0,0.0,,,,,11.0,,Complete,84.21051999999999,B,,25,27.0,23.5,41.0,,83.89473000000001,B,26.0,,,89.15491999999999,66.25,30.55555,0.0
Complete,9.0,10.0,4.5,19.5,5.0,20.0,5.0,17.0,5.0,18.5,4.0,17.5,3.5,19.0,5.0,19.0,0.0,0.0,3.0,20.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,5.0,0.0,3.0,4.0,0.0,0.0,23.0,,Complete,92.10526,A,,25,32.0,30.0,50.0,1.0,82.21051999999999,B,28.0,,,81.83098000000001,75.0,63.88888000000001,1.0
Complete,10.0,10.0,5.0,20.0,5.0,17.0,5.0,19.0,5.0,20.0,5.0,19.5,4.5,20.0,4.0,19.0,1.5,19.5,5.0,19.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,,87.21804,B,,22.5,31.0,30.0,45.5,1.0,87.36842,B,26.0,,,94.36619,71.25,5.55555,1.0
Complete,9.0,9.0,4.5,14.0,0.0,17.0,5.0,16.5,5.0,16.5,5.0,18.0,5.0,18.0,5.0,19.5,2.0,20.0,5.0,20.0,5.0,20.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,5.0,0.0,3.0,4.0,2.0,4.0,27.0,5.0,Complete,77.81954,C,5.0,22.5,25.0,30.0,45.0,1.0,88.10526,B,26.0,,,89.7183,63.75,75.0,11.0
Complete,10.0,10.0,5.0,19.0,5.0,19.0,5.0,18.0,5.0,20.0,5.0,20.0,4.5,18.0,3.5,19.5,4.5,20.0,5.0,20.0,5.0,20.0,,,1.0,,2.0,3.0,,5.0,,,,,,11.0,,Complete,91.72932,A,,20,27.0,30.0,47.5,,91.05263000000001,A,36.0,,5/1/19,95.35211,78.75,30.55555,0.0
Complete,10.0,10.0,,,,17.0,3.0,20.0,5.0,16.0,5.0,17.0,,,4.0,18.0,5.0,18.0,5.0,16.0,5.0,19.0,,2.0,,2.0,,,2.0,2.0,3.0,3.0,4.0,2.0,4.0,24.0,,Complete,63.909769999999995,D,,22.5,33.0,19.0,44.0,,75.26315,C,26.0,,,72.8169,73.75,66.66666,0.0
,8.0,9.0,5.0,20.0,5.0,20.0,5.0,16.5,5.0,19.0,5.0,19.0,4.5,19.0,4.5,19.5,4.5,20.0,5.0,19.0,5.0,18.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,3.0,1.0,4.0,2.0,4.0,27.0,5.0,Complete,92.85714,A,,22.5,28.0,28.0,45.5,1.0,91.26315,A,28.0,,,94.22535,70.0,75.0,6.0
Complete,10.0,10.0,4.5,18.5,5.0,16.0,5.0,18.25,2.0,20.0,5.0,18.0,5.0,19.0,5.0,19.0,4.0,19.5,5.0,20.0,4.5,20.0,1.0,0.0,0.0,0.0,1.0,,,,,,4.0,,,6.0,,Complete,83.64661,B,,25,33.0,26.5,45.5,,86.78947,B,23.0,,,93.02816,70.0,16.66666,0.0
Complete,10.0,10.0,4.0,20.0,5.0,19.0,5.0,20.0,5.0,20.0,4.0,19.0,5.0,19.0,3.0,19.0,5.0,19.5,5.0,20.0,5.0,20.0,1.0,2.0,1.0,2.0,,2.0,,5.0,,1.0,3.0,2.0,4.0,23.0,5.0,Complete,94.73684,A,,25,33.0,28.0,50.0,,91.05263000000001,A,30.0,,,97.04225,78.75,63.88888000000001,5.0
Complete,7.0,10.0,4.5,19.0,5.0,16.0,5.0,18.5,4.0,20.0,3.5,16.0,4.5,18.0,5.0,19.0,4.0,19.5,5.0,18.0,5.0,20.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,4.5,3.0,3.0,4.0,2.0,4.0,34.5,5.0,Complete,90.97744,A,,22.5,35.0,26.5,47.0,2.0,93.57894,A,37.0,3.0,,91.69014,90.0,95.83333,10.0
Complete,10.0,10.0,5.0,20.0,0.0,0.0,5.0,20.0,5.0,17.0,5.0,19.5,5.0,18.5,5.0,19.0,5.0,20.0,5.0,20.0,5.0,18.0,1.0,0.0,1.5,2.0,0.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0,13.5,5.0,Complete,72.55639000000001,C,,20,35.0,30.0,47.0,1.0,89.78947,A,33.0,,,88.4507,85.0,37.5,6.0
Complete,10.0,10.0,5.0,17.0,5.0,16.0,5.0,17.0,5.0,18.0,5.0,19.0,2.0,15.0,5.0,18.5,4.0,19.5,3.0,18.0,4.0,18.0,1.0,,,,2.0,2.0,2.0,2.0,3.0,,4.0,2.0,4.0,22.0,3.0,Complete,84.9624,B,5.0,20,29.0,27.0,43.0,4.0,89.89473000000001,A,37.0,,,87.04225,82.5,61.11111,12.0
Complete,10.0,9.0,4.0,20.0,4.0,17.0,4.0,18.5,4.0,16.0,5.0,15.0,4.5,17.5,3.0,19.5,4.5,17.5,5.0,19.0,5.0,19.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,2.0,4.0,17.0,5.0,Complete,83.0827,B,,15,27.0,29.0,46.0,1.0,87.78947,B,36.0,,,87.88731999999999,78.75,47.22222,6.0
Complete,7.0,10.0,4.5,18.0,3.0,19.0,4.0,19.0,4.5,19.5,4.0,17.5,5.0,17.5,4.0,19.0,4.0,20.0,5.0,20.0,5.0,18.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,4.0,2.0,4.0,34.0,,Complete,89.84962,A,,25,27.0,24.5,44.0,1.0,88.0,B,29.0,,,91.2676,70.0,94.44444,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Complete,9.0,10.0,5.0,17.0,5.0,20.0,5.0,19.5,5.0,20.0,5.0,20.0,3.5,19.0,5.0,19.5,4.0,19.0,5.0,20.0,5.0,20.0,1.0,1.0,,,2.0,4.0,2.0,5.0,3.0,3.0,4.0,2.0,4.0,31.0,,Complete,92.85714,A,,22.5,29.0,30.0,48.5,,92.52631,A,29.0,,5/1/19,96.47887,72.5,86.11111,0.0
Complete,8.0,10.0,4.5,16.0,4.0,18.5,5.0,17.0,5.0,18.5,4.0,18.0,5.0,19.0,4.0,19.0,0.0,0.0,5.0,19.0,4.5,19.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,4.5,3.0,0.0,0.0,2.0,4.0,19.5,,Complete,83.0827,B,,15,23.0,26.0,39.5,1.0,77.05263000000001,C,19.0,,,80.42253000000001,52.5,54.16666,1.0
,10.0,10.0,5.0,18.0,5.0,19.0,3.0,19.5,5.0,19.0,5.0,19.0,4.5,18.5,0.0,0.0,5.0,18.5,5.0,19.5,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Complete,85.33834,B,,25,33.0,21.5,42.0,1.0,82.94736,B,39.0,,,84.78873,90.0,0.0,1.0
,9.0,10.0,4.5,19.0,2.5,20.0,5.0,19.0,5.0,19.5,4.0,18.5,5.0,18.5,4.0,19.5,5.0,19.0,5.0,19.0,4.5,20.0,0.0,0.0,0.0,2.0,1.0,4.0,2.0,5.0,3.0,3.0,4.0,2.0,4.0,30.0,5.0,Complete,90.6015,A,5.0,22.5,34.0,24.5,45.5,1.0,94.10526,A,34.0,,,92.67605,85.0,83.33333,11.0
,,,3.0,19.0,0.0,19.0,5.0,19.0,5.0,19.0,,,5.0,18.5,0.0,19.0,3.0,18.5,5.0,19.0,5.0,20.0,,,,,,,,,,,,,,,,Complete,66.91729000000001,D,,22.5,33.0,,47.5,,79.57894,B,38.0,5.0,,76.61971,88.75,0.0,5.0
In Progress,10.0,9.0,5.0,20.0,5.0,20.0,0.0,0.0,0.0,0.0,4.0,20.0,4.5,20.0,4.5,20.0,3.5,20.0,5.0,20.0,5.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0,,Complete,53.38345,F,,12.5,32.0,25.0,47.0,,80.42105,B,38.0,,,79.15491999999999,87.5,16.66666,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0
,8.0,9.0,3.5,13.5,5.0,16.5,5.0,17.5,5.0,19.0,4.0,17.0,4.5,18.5,4.5,20.0,3.5,19.5,5.0,18.5,5.0,20.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,4.0,2.0,4.0,22.0,,Complete,79.69924,B,,17.5,30.0,26.5,32.0,2.0,84.8421,B,33.0,,,84.78873,78.75,61.11111,2.0
Complete,10.0,10.0,5.0,18.5,5.0,15.5,5.0,18.5,0.0,17.0,5.0,20.0,5.0,19.5,4.5,19.0,5.0,19.5,5.0,18.0,5.0,20.0,1.0,1.0,0.0,2.0,2.0,2.5,2.0,5.0,0.0,3.0,4.0,2.0,4.0,28.5,5.0,Complete,84.9624,B,5.0,25,35.0,28.0,47.0,2.0,95.36842,A,36.0,,,92.95774,88.75,79.16666,12.0
Complete,9.0,10.0,5.0,20.0,5.0,20.0,5.0,16.0,5.0,20.0,4.0,18.0,4.0,20.0,5.0,19.0,4.0,20.0,5.0,18.0,5.0,18.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,4.0,2.0,4.0,36.0,4.0,Complete,96.2406,A,,25,33.0,24.5,49.0,1.0,93.57894,A,33.0,,,94.22535,82.5,100.0,5.0
Complete,9.0,10.0,5.0,18.0,3.0,18.0,5.0,19.0,5.0,17.0,,19.0,5.0,16.0,4.0,18.5,,,5.0,18.0,5.0,20.0,,1.0,1.0,2.0,,2.0,2.0,,0.0,,,,,8.0,,Complete,86.46616,B,,22.5,25.0,22.5,37.0,,66.94736,D,16.0,,,79.57746,51.25,22.22222,0.0
Complete,9.0,10.0,5.0,19.0,5.0,19.0,5.0,18.5,5.0,20.0,0.0,19.0,5.0,18.5,4.0,20.0,5.0,19.5,5.0,20.0,5.0,20.0,1.0,1.0,2.0,2.0,,2.0,2.0,5.0,,1.0,4.0,2.0,,22.0,,Complete,92.85714,A,,22.5,35.0,27.0,49.0,1.0,93.68421,A,33.0,,,94.64788,85.0,61.11111,1.0
Complete,8.0,9.0,5.0,19.0,5.0,20.0,5.0,19.0,5.0,20.0,3.0,18.5,5.0,19.0,4.5,19.5,4.5,20.0,5.0,19.5,4.5,20.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,5.0,0.0,0.0,4.0,0.0,0.0,22.0,,Complete,94.73684,A,5.0,25,39.0,30.0,50.0,3.0,98.52631,A,38.0,,,97.46478,96.25,61.11111,8.0
Complete,9.0,10.0,4.0,17.0,3.0,20.0,5.0,19.0,5.0,19.0,4.0,18.5,4.5,18.5,5.0,19.5,4.0,20.0,4.5,20.0,5.0,19.5,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,4.0,2.0,4.0,25.0,,Complete,88.7218,B,,25,32.0,29.0,46.5,1.0,92.94736,A,34.0,,,94.50704,82.5,69.44444,1.0
Complete,10.0,10.0,5.0,10.0,5.0,17.0,5.0,18.0,0.0,20.0,5.0,20.0,0.0,0.0,3.0,19.5,3.5,20.0,5.0,20.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,2.0,,Complete,76.69171999999999,C,,15,33.0,30.0,35.0,,71.36842,C,28.0,,4/30/19,72.11267,76.25,5.55555,0.0
Complete,10.0,9.0,4.0,17.0,4.0,17.0,5.0,18.0,5.0,18.0,5.0,15.0,3.5,19.0,1.0,15.0,5.0,18.0,4.0,20.0,5.0,20.0,1.0,1.0,1.0,,1.0,,2.0,4.0,,,3.0,,,13.0,,Complete,83.45864,B,,22.5,33.0,24.0,42.0,,84.63157,B,25.0,5.0,,86.47887,72.5,36.11111,5.0
Complete,10.0,10.0,5.0,17.0,5.0,19.0,5.0,19.0,,,5.0,18.0,4.0,18.0,5.0,19.5,2.0,18.5,5.0,20.0,5.0,20.0,,,,,,3.0,,,0.0,,,,,3.0,,Complete,69.92481,C,,25,34.0,27.5,50.0,,80.21051999999999,B,24.0,0.5,,88.02816,72.5,8.33333,0.5
Complete,7.0,10.0,5.0,20.0,5.0,20.0,4.0,19.5,5.0,20.0,5.0,17.0,4.5,18.0,5.0,19.5,3.5,20.0,5.0,20.0,5.0,20.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,5.0,3.0,1.0,4.0,2.0,4.0,33.0,,Complete,95.86466,A,,25,35.0,30.0,50.0,1.0,95.78947,A,31.0,5.0,,97.46478,82.5,91.66666,6.0
Complete,9.0,10.0,4.0,20.0,5.0,19.0,4.0,18.0,5.0,16.0,4.0,19.0,4.5,20.0,0.0,20.0,3.0,20.0,5.0,19.0,4.0,20.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,2.0,4.0,20.0,5.0,Complete,86.46616,B,2.0,20,33.0,30.0,41.0,1.0,90.0,A,27.0,,,90.28169,75.0,55.55555,8.0
Complete,10.0,9.0,4.0,20.0,3.5,18.0,5.0,19.5,5.0,18.0,5.0,17.0,5.0,19.0,5.0,19.0,4.5,19.5,5.0,18.0,5.0,20.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,5.0,0.0,3.0,4.0,2.0,4.0,29.0,,Complete,90.97744,A,,20,32.0,29.0,48.5,2.0,91.78947,A,31.0,,,93.66197,78.75,80.55555,2.0
Complete,10.0,10.0,5.0,20.0,5.0,19.0,5.0,20.0,5.0,18.0,4.0,20.0,5.0,18.5,5.0,19.0,4.5,20.0,5.0,20.0,5.0,20.0,1.0,1.0,1.5,2.0,2.0,1.5,2.0,5.0,3.0,1.0,4.0,2.0,4.0,30.0,,Complete,94.73684,A,,22.5,29.0,30.0,48.5,1.0,94.31578,A,34.0,,,96.9014,78.75,83.33333,1.0
Complete,10.0,10.0,5.0,19.0,5.0,16.0,5.0,18.0,5.0,18.0,5.0,18.0,5.0,19.0,4.0,19.5,5.0,20.0,4.0,20.0,5.0,20.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,4.0,2.0,4.0,30.0,,Complete,90.97744,A,,22.5,33.0,30.0,46.0,,94.10526,A,35.0,5.0,,94.0845,85.0,83.33333,5.0
Complete,10.0,10.0,4.0,19.0,5.0,18.0,5.0,18.5,5.0,20.0,4.0,17.0,5.0,17.5,5.0,20.0,5.0,19.0,5.0,18.5,5.0,20.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,Complete,89.84962,A,,25,34.0,30.0,45.5,2.0,90.94736,A,33.0,,,94.64788,83.75,19.44444,2.0
,10.0,10.0,5.0,17.5,5.0,18.0,5.0,18.5,5.0,20.0,5.0,20.0,4.5,20.0,4.5,20.0,4.5,19.5,5.0,20.0,4.5,20.0,1.0,2.0,0.0,2.0,1.0,,,5.0,3.0,3.0,,,,17.0,5.0,,90.22556,A,5.0,25,37.0,27.5,50.0,,97.05263000000001,A,33.0,1.5,,96.9014,87.5,47.22222,11.5
Complete,10.0,10.0,5.0,17.0,5.0,18.0,4.0,20.0,5.0,18.0,5.0,20.0,5.0,15.0,5.0,18.5,4.0,18.0,5.0,20.0,4.0,20.0,,,2.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,4.0,,,26.0,,Complete,90.97744,A,,20,33.0,29.0,43.0,,90.21051999999999,A,32.0,,,91.12676,81.25,72.22222,0.0
Complete,10.0,10.0,4.0,19.0,1.0,13.5,5.0,18.5,5.0,18.0,5.0,20.0,4.5,18.5,5.0,19.5,4.0,20.0,5.0,20.0,5.0,20.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,5.0,3.0,3.0,4.0,2.0,4.0,31.0,5.0,Complete,84.21051999999999,B,5.0,22.5,24.0,25.0,49.0,1.0,90.31578,A,27.0,,,92.11267,63.75,86.11111,11.0
,8.0,9.0,5.0,17.0,5.0,16.0,5.0,18.0,5.0,17.0,5.0,18.0,5.0,15.0,3.0,18.5,1.0,18.0,5.0,19.0,4.0,19.0,1.0,1.0,1.0,2.0,2.0,,2.0,,3.0,0.0,4.0,2.0,4.0,22.0,,,84.21051999999999,B,,22.5,29.0,27.0,39.5,,82.63157,B,19.0,,,86.61971,60.0,61.11111,0.0
Complete,8.0,9.0,4.0,19.0,4.5,19.0,4.0,18.5,5.0,18.5,4.0,18.0,4.5,18.0,4.5,18.5,4.0,19.5,5.0,20.0,4.0,18.5,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,,Complete,87.59398,B,,0,22.0,28.5,38.0,1.0,76.73684,C,17.0,,,83.80281,48.75,27.77777,1.0
Complete,10.0,10.0,5.0,20.0,5.0,20.0,5.0,19.0,5.0,20.0,5.0,19.5,5.0,19.0,5.0,20.0,4.5,20.0,5.0,20.0,5.0,19.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,5.0,0.0,3.0,0.0,2.0,0.0,21.0,,Complete,96.2406,A,1.0,22.5,35.0,30.0,50.0,1.0,97.36842,A,36.0,,,98.16901,88.75,58.333330000000004,2.0
Complete,10.0,10.0,5.0,18.0,5.0,19.5,3.0,18.0,5.0,19.0,4.0,19.0,5.0,18.0,3.0,20.0,4.0,19.0,5.0,19.5,5.0,19.5,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,Complete,89.84962,B,,0,29.0,27.0,39.5,1.0,80.0,B,23.0,,,84.50704,65.0,19.44444,1.0
Complete,10.0,10.0,4.5,13.0,0.0,0.0,5.0,18.5,5.0,19.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Complete,65.41353000000001,D,,0,23.0,28.0,41.5,1.0,42.63157,F,0.0,,3/6/19,44.0845,28.75,5.55555,1.0
,10.0,10.0,5.0,0.0,4.0,20.0,5.0,20.0,0.0,0.0,5.0,20.0,4.5,20.0,3.5,19.5,1.0,20.0,5.0,20.0,5.0,20.0,,,,,,,,,,,,,,,,,55.63909,F,,,37.0,30.0,25.0,,65.15789000000001,D,0.0,,5/1/19,71.12676,46.25,0.0,0.0
,10.0,10.0,4.0,19.0,5.0,19.0,5.0,18.5,5.0,19.0,5.0,19.0,3.0,18.5,4.0,19.0,4.0,20.0,5.0,19.0,5.0,20.0,1.0,0.0,2.0,,,2.0,,5.0,3.0,3.0,4.0,2.0,4.0,26.0,,,89.84962,B,5.0,25,36.0,29.5,46.0,1.0,93.89473000000001,A,33.0,,,94.78873,86.25,72.22222,6.0
Complete,9.0,10.0,4.0,19.0,5.0,18.0,5.0,18.0,0.0,0.0,5.0,17.0,3.0,18.0,3.5,18.5,2.0,15.0,5.0,19.0,5.0,20.0,,0.0,,2.0,1.0,,2.0,5.0,,2.0,3.0,2.0,4.0,21.0,,Complete,68.42105,D,,,25.0,15.0,,1.0,66.10526,D,22.0,,,60.56338,58.75,58.333330000000004,1.0
Complete,9.0,10.0,5.0,20.0,5.0,20.0,5.0,17.5,5.0,19.0,4.0,15.5,0.0,0.0,0.0,0.0,2.5,20.0,5.0,19.0,3.0,16.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,3.0,3.0,0.0,2.0,4.0,28.0,,Complete,93.60902,A,,0,23.0,24.5,43.5,1.0,71.26315,C,26.0,,,70.28169,61.25,77.77776999999999,1.0
